stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,39.53,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,9,0,1,0,0,0,1,2,8,0,5,3,0,0,0
 24-34,0,0,0.82,1.64,4.1,0,0,1.64,0,0,0,0,4.1,0,0,0,10.67,0,0.82,0.82,0,3.28,0.82,0,1.64,39.4,0,3.28,4.1,0,0,3.28,0,23.8,0,0,15.6,0,0.82,0
 36-46,0,0,0,0,0,0,0,4.03,0,0,0,0,0.81,0,0,0,1.61,0,0.81,0,0,0.81,0,0.81,0.81,129.71,0,8.06,0.81,0,0,6.45,0,12.89,0,0,20.14,0,0,0
 48-58,0,0,0,0,0.57,0,0,26.97,0,0,0,1.72,2.3,0.57,0,0.57,2.3,0,0.57,0,0,3.44,0.57,0,0,185.34,0,5.16,1.15,0,0,2.3,0,4.59,0,0,19.51,0,0.57,1.15
 60-70,0,0,0.98,0,0,0,0,72.63,0,0,0.98,1.96,3.93,0,0,0,3.93,0,1.96,0.98,0,5.89,0,0,0,308.2,0,4.91,0.98,0,0,1.96,0,9.82,0,0,32.39,0.98,0.98,0
 72-82,0,0,7.85,0,2.94,2.94,0.98,104.06,0.98,0.98,0.98,9.82,17.67,0,0,0.98,0.98,0,0.98,0.98,0.98,10.8,1.96,0,0,305.3,0,6.87,2.94,0,0,2.94,0,9.82,0.98,0,19.63,2.94,0,0.98
 84-94,0,0,5.31,0,3.19,0,1.06,89.21,0,1.06,0,7.43,24.43,0,0,1.06,2.12,0,1.06,0,0,3.19,0,0,0,142.31,0,4.25,5.31,0,0,5.31,0,15.93,0,0,9.56,6.37,0,0
 96-106,0,0,5.46,1.09,3.28,0,1.09,71.04,1.09,0,0,5.46,28.41,0,0,1.09,2.19,0,5.46,1.09,0,5.46,5.46,0,1.09,136.61,0,5.46,10.93,0,0,8.74,0,14.21,0,0,9.84,4.37,0,0
108-118,0,0,4.6,0.77,8.43,0,4.6,62.81,0,0,0.77,6.13,24.51,0,1.53,1.53,3.06,0.77,1.53,2.3,0,3.06,2.3,0,0.77,127.92,0.77,5.36,7.66,0,0,5.36,0,9.96,0,0,6.13,6.89,0,0
120,0,0,1.96,0,3.92,0,5.88,56.83,0,1.96,0,3.92,25.48,0,0,0,3.92,0,3.92,1.96,0,3.92,0,0,5.88,146.98,1.96,11.76,5.88,0,1.96,9.8,0,9.8,0,0,3.92,3.92,0,0
