stage,axial,blastomeres,epidermis,eye,glial,heart,ionocyte,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,2,1,1,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,2.46,0,6.57,0.82,0,0,0,0,0,0,0,2.46,0.82,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,2.42,0,0,0,0,0.81,0,0,0,1.61,0,0
 48-58,0,0,0,4.02,1.72,0,0,2.3,0.57,12.62,0,0.57,0,0,0,0,0,0,1.72,1.15,0
 60-70,0,0,0,1.96,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,3.93,1.96,0,0,2.94,0,13.74,0,0,0,0,0,0,0,0,1.96,0,0
 84-94,0,0,1.06,0,3.19,0,0,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,4.37,2.19,0,0,0,1.09,0,4.37,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,9.96,3.06,0,0,0.77,0,0.77,9.19,0,0,0,0,0,0,0,0,0,0,0
120,0,0,5.88,0,0,1.96,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96
