stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,237.2,4388.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,1029.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,2.63,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,157.72,0,0,57.83,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,6.29,0,0,6.29,0,0,0,34.62,6.29,0,18.88,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,3,0,1,0,0,0,0,0,0,23,1,0,1,12,0,1,0,0,1,2,0,2,9,0,0,1,0,0
 24-34,0,0,0,3.28,0.82,0,0.82,0,0,0.82,0,0,0,11.49,0,0,1.64,22.16,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0,0,0,6.45,0,0,0,18.53,0,0,0,0,0,0,0.81,0,5.64,0,0,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,1.72,0.57,0,0,0,0.57,2.3,0,0.57,29.26,0,0,0,0,0,0,0,0,6.31,0,0,0,0,0.57
 60-70,0,0,0.98,0,1.96,0,0.98,0,0.98,3.93,0,0,0,0.98,0.98,0,0,60.85,0,0,0,0,0,0,0,0,16.69,0,0,0.98,0,0
 72-82,0,0,0,0,0,0.98,13.74,0,3.93,11.78,0,0.98,0,2.94,0,0,0.98,72.64,0,0,0,0.98,0,0,0.98,0,17.67,0,0,0,0.98,0
 84-94,0,0,1.06,0,0,0,9.56,0,2.12,20.18,0,0,0,2.12,1.06,0,0,26.55,0,0,0,0,0,0,1.06,0,9.56,0,1.06,0,1.06,0
 96-106,0,0,0,0,1.09,0,8.74,1.09,1.09,30.6,0,0,0,3.28,1.09,1.09,1.09,22.95,0,0,0,1.09,0,0,0,0,2.19,1.09,3.28,0,0,0
108-118,0,0,0,0,0.77,0,7.66,0.77,2.3,17.62,0,0,0.77,10.72,2.3,0,0.77,29.87,0,0,0,0,0,0,0,0,1.53,0.77,0.77,0,0,0
120,0,0,0,0,0,0,5.88,0,0,21.56,0,0,1.96,11.76,0,0,0,29.4,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
