stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,553.47,8684.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.02,0,0,0,0,0,0,0,0,0
  5-6,606.83,8937.01,12.26,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,177.76,24.52,0,0,85.81,116.46,0,0,0,0,0,0,0,0,0
  7-9,97.26,176.12,241.84,0,2.63,475.8,0,0,0,0,152.47,0,0,0,0,0,0,0,0,0,0,0,4687,123.55,0,0,1706.03,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,160.5,188.82,0,12.59,374.49,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,3546.63,66.09,0,0,1287.11,0,3.15,12.59,119.58,0,0,9.44,0,0,0
 14-21,0,0,19,274,159,173,0,0,27,4,2,1,0,3,0,0,1,0,111,0,0,87,2247,36,4,24,118,3,1,288,24,4,198,727,0,13,1
 24-34,0,0,4.1,25.45,23.8,237.23,0,0,25.45,0,0.82,2.46,1.64,4.1,0.82,3.28,1.64,1.64,76.34,0.82,0,33.66,927.57,2.46,9.03,8.21,0,7.39,0,0,2.46,0.82,26.27,220.81,0,52.53,3.28
 36-46,0,0,0,7.25,1.61,62.84,0.81,0.81,3.22,0,0,0.81,0,0.81,0,0.81,0,0,24.98,0.81,0,7.25,142.6,0,0,1.61,0,2.42,0,0.81,0,0,0,24.17,0,8.86,0.81
 48-58,0,0,0,8.61,0,63.69,1.15,0,5.16,0.57,0,0,0,0.57,0.57,1.72,0,0,19.51,1.15,2.3,6.89,61.4,0,2.3,1.15,0,0,0,0,0.57,0,0,6.89,0,7.46,1.72
 60-70,0,0,0,6.87,0,19.63,0.98,1.96,3.93,1.96,0,0,0,0,0,0,0,0,6.87,0,0,2.94,17.67,0,0.98,0,0,1.96,0,0,0,0,0,0.98,0,2.94,0
 72-82,0,0,0,3.93,0,1.96,0,0,0.98,0.98,0,0,0,0.98,0.98,0,0,0,6.87,0,0.98,0.98,8.83,0,0.98,0.98,0,0.98,0,0,0,0,0,0,0,2.94,0
 84-94,0,0,0,3.19,0,7.43,0,2.12,2.12,0,0,0,0,1.06,0,1.06,0,0,9.56,0,0,3.19,5.31,0,2.12,2.12,0,1.06,0,0,0,0,0,0,0,3.19,0
 96-106,0,0,0,3.28,0,4.37,1.09,0,2.19,0,0,1.09,0,1.09,0,0,1.09,0,7.65,0,0,2.19,3.28,0,1.09,0,0,3.28,1.09,0,0,0,0,1.09,0,2.19,0
108-118,0,0,0,0.77,0,1.53,0.77,0,1.53,0,0,0,0,0,0,0,0.77,0,1.53,0,0.77,2.3,8.43,0,1.53,0,0,2.3,1.53,0,0,0,0,0.77,0.77,1.53,0.77
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,3.92,0,0,0,3.92,0,0,0,7.84,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0
