stage,erythrocytes,eye,fast.muscle,glial,gut,liver,mesenchyme,muscle,neural,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,2.42,0,0,0,0,0,0,0.81
 48-58,0,0.57,0,0,0,0,0,0.57,4.02,0,0,0,0,0,0.57,0
 60-70,0,0,3.93,0,0,0,1.96,1.96,2.94,0,0,0,0.98,0,0,0
 72-82,0.98,2.94,4.91,0,0,0,0,1.96,2.94,0,0,0,0,0,0.98,0
 84-94,0,3.19,8.5,0,0,0,0,1.06,3.19,0,0,0,1.06,0,0,0
 96-106,0,2.19,18.58,1.09,1.09,1.09,1.09,1.09,1.09,0,1.09,0,0,0,0,0
108-118,0,2.3,14.55,0,0,0,0,0,2.3,0,0,0,0.77,0,0,0
120,0,1.96,19.6,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0
