stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,otic,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,3.28,4.1,0,0,0.82,5.75,0.82,0,0,0,0
 36-46,0,0,0,0,9.67,0,0,0.81,0,0,0,0,0,0,0,0.81,0,1.61,7.25,0,0,0,10.47,0.81,0,0.81,0,0.81
 48-58,0,0,0,6.31,11.48,0,0,0.57,0,0,0,0,0,0,0,2.3,0,2.3,9.18,0.57,0,0,10.9,0.57,0,0,0,0
 60-70,0,0,0,7.85,16.69,0,0,1.96,0,0,0,0,0,0,0,0,0,3.93,9.82,0,0,0,20.61,0.98,0,0,0,0
 72-82,0.98,0.98,0,12.76,24.54,0,0,2.94,0,0,0,0.98,0,0,0,5.89,0,4.91,15.71,0,0,0,13.74,0.98,0.98,1.96,0,0.98
 84-94,2.12,2.12,0,12.74,25.49,0,0,1.06,2.12,2.12,0,1.06,0,1.06,0,5.31,0,10.62,5.31,0,3.19,0,19.12,1.06,0,0,0,1.06
 96-106,3.28,5.46,2.19,16.39,60.11,1.09,0,5.46,0,0,0,0,0,2.19,0,9.84,0,6.56,28.41,1.09,5.46,0,20.76,1.09,0,1.09,2.19,0
108-118,3.83,1.53,0.77,10.72,57.45,0,0,1.53,0,0,0,0,0.77,0.77,0.77,3.06,0,12.26,14.55,0,1.53,0,26.81,0.77,0,0,0,0
120,5.88,0,0,1.96,39.2,0,1.96,3.92,0,0,0,0,0,0,0,0,1.96,7.84,11.76,0,0,0,17.64,0,0,0,0,0
