stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,2,0,0,0,0,1,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0.82,1.64,2.46,0,2.46,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,0,1.61,0,0,0.81,0.81,0,0,0.81,0
 48-58,0,0.57,0,1.15,0.57,0,0,0,0,0,8.03,0,2.3,1.15,0.57,0,2.87,0,0.57,0,0,0.57,0
 60-70,0,0.98,0,0,0.98,0,0,0,0,0,28.46,1.96,4.91,0.98,0.98,0,1.96,0.98,0,0,0.98,0,1.96
 72-82,0.98,9.82,0,0,10.8,0,0,0,0,0,76.57,7.85,4.91,3.93,0,2.94,7.85,0,1.96,0,9.82,0,9.82
 84-94,1.06,8.5,3.19,2.12,3.19,0,0,0,0,0,65.85,6.37,1.06,2.12,1.06,2.12,26.55,2.12,1.06,1.06,10.62,0,18.05
 96-106,5.46,10.93,0,1.09,5.46,0,0,0,1.09,1.09,87.43,18.58,5.46,9.84,1.09,2.19,12.02,2.19,0,0,8.74,0,25.14
108-118,3.06,13.02,1.53,0.77,6.89,0,0.77,0.77,0,0,91.15,13.79,3.83,9.96,1.53,6.13,6.13,3.06,0,0.77,5.36,0,15.32
120,1.96,5.88,0,0,0,0,0,1.96,0,0,80.35,19.6,0,1.96,1.96,7.84,3.92,1.96,0,1.96,3.92,1.96,35.28
