stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,192,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0
 24-34,0,0,284.84,1.64,2.46,5.75,0,0.82,0,0,0,0,0,0,1.64,1.64,1.64,13.95,0,0,1.64,0,0,9.85,0,0.82,0,0,0,0
 36-46,0,0,206.25,0,2.42,20.95,1.61,0,0,0,0.81,0,0,0,1.61,3.22,0,15.31,0,0,0.81,0,0,4.83,0,2.42,0,0,0.81,0
 48-58,0,0,138.29,0,3.44,31.56,0,0,0,0.57,0,0,0,0,2.3,0,0,9.75,0,0.57,0,0,0,0.57,0,3.44,0,0,1.15,0
 60-70,0,0,134.47,0,2.94,47.11,0.98,0,0,0,0,0,0,0,1.96,2.94,0.98,12.76,0.98,0,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,102.09,0,0,39.27,0,0.98,0,0,1.96,0,0.98,0,1.96,0,0,13.74,0,1.96,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,1.06,0,197.54,1.06,2.12,57.35,0,1.06,0,0,0,0,0,0,1.06,2.12,0,2.12,1.06,0,0,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,257.91,0,2.19,101.63,0,2.19,1.09,0,4.37,0,0,2.19,2.19,4.37,0,4.37,0,0,0,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0,158.55,0,0.77,94.21,0,0.77,1.53,0,0.77,0.77,0,0,1.53,1.53,0,5.36,0,0,0,0,0,0,0,0.77,1.53,0.77,0.77,0.77
120,0,0,186.18,0,1.96,62.71,0,1.96,0,0,1.96,0,0,1.96,1.96,3.92,1.96,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0
