stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,92.25,1699.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0
  5-6,116.46,1918.58,0,0,0,0,0,0,0,0,0,0,0,0,0,42.91,12.26,0,0,30.65,0,0,0,0,0,0,0,0
  7-9,5.26,15.77,0,18.4,0,0,39.43,0,0,7.89,0,0,0,0,0,370.65,7.89,0,152.47,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,34.62,0,0,15.73,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,4,3,2,0,0,1,0,0,0,1,3,3,13,0,1,1,0,3,1,0,7,1,0,0,0
 24-34,0,0,0,0.82,0.82,0.82,0.82,0,0,0,0,0,0,0.82,0.82,10.67,0,1.64,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0.81,0.81,6.45,0,0.81,0,1.61,1.61,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.57,0.57,6.31,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,6.87,0.98,0.98,0,0,0,0,0.98,0.98,9.82,0.98,0,0,0,0.98,0,0,0,0,0,1.96,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,18.65,0,0,0,0,0.98,0,0,0,0,0,2.94,0
 84-94,0,0,1.06,0,0,0,5.31,1.06,0,0,1.06,0,0,1.06,0,15.93,0,0,0,0,0,0,0,0,0,1.06,1.06,1.06
 96-106,0,0,0,0,1.09,0,5.46,0,0,0,0,1.09,0,3.28,0,20.76,0,0,0,1.09,1.09,0,0,0,0,0,3.28,0
108-118,0,0,0,0.77,1.53,0,1.53,0,1.53,0,0,0.77,0,0,0,23.74,0,0.77,0,0,2.3,0,0,0,0,0,5.36,0
120,0,0,0,0,0,0,0,0,3.92,0,0,0,0,0,0,19.6,0,0,0,0,1.96,0,0,0,0,0,1.96,0
