stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,593.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,649.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,2.63,0,0,0,28.92,0,0,0,0,10.51,0,0,0,0,0,0,0,0,278.64,10.51,0,84.12,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,18.88,0,0,0,0,6.29,0,0,0,0,0,0,0,0,198.26,3.15,0,97.56,0,3.15,3.15,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,6,1,0,1,0,0,1,1,0,0,0,0,0,0,2,0,1,32,1,0,2,0,0,5,0,0,8,4,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,1.64,0.82,0,0,0.82,0,0,0,0,1.64,0.82,0,41.86,0,2.46,0,0,0,0,0.82,0.82,0,7.39,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,4.03,0.81,0.81,0.81,0,0,0,0,0,0,0,2.42,0,0,29.81,0,0,0,0.81,0,0,0,0,0,4.83,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,14.35,0,0,3.44,0.57,0,0,0,0,0,0,6.31,0,0,28.12,0,0,0,0,0,0,0,0,0,9.18,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0.98,0,15.7,0,0.98,3.93,0.98,0,0,0,0,0,0,1.96,0,0.98,25.52,0,0,0,0.98,0,0,0,0,0,3.93,0,0.98,0,0,0
 72-82,0,0,0.98,0,0,0,0,12.76,0,0.98,1.96,0,0,0,0,0,0,0.98,4.91,0,0,32.39,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0.98,0
 84-94,0,0,0,0,2.12,0,0,14.87,0,0,3.19,0,0,1.06,0,0,0,0,5.31,1.06,2.12,10.62,0,0,0,1.06,0,0,1.06,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,2.19,1.09,0,9.84,0,0,2.19,0,0,0,0,1.09,0,0,2.19,1.09,1.09,13.11,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0,0.77,0.77,0.77,6.13,0,0,4.6,0.77,0,0,0.77,0,1.53,0,1.53,0.77,1.53,12.26,0,0.77,0,3.06,0,0,0,0,0,0.77,0,0,1.53,0,0
120,0,0,0,0,5.88,0,0,3.92,0,0,0,1.96,0,0,1.96,0,0,0,0,0,1.96,27.44,1.96,0,0,1.96,0,0,0,1.96,0,3.92,0,0,0,0,0
