stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,1,3,0,0,0,0,17,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0.82,0,0,0,0,0.82,0,0.82,107.53,0,5.75,13.95,0,0,0.82,0,41.86,0,1.64,0
 36-46,0,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,213.5,0.81,5.64,6.45,0,1.61,0,0,64.45,0,0.81,0
 48-58,0,0,0,0,1.15,0,17.79,0,0,0.57,2.3,0,0,0,0,0,1.15,0,2.87,0.57,0,314.45,0,6.31,4.02,0,1.15,0,0,51.07,0,0.57,0
 60-70,0,0,0,0,0.98,0,48.09,0,0,0.98,13.74,0,0.98,0,0,0,3.93,0,11.78,0,0,698.84,0,5.89,13.74,0,1.96,0.98,0,54.97,0.98,0,0
 72-82,0,0,0,0,4.91,0.98,84.42,0,0,0,19.63,0.98,0.98,0.98,0,2.94,2.94,0,11.78,0,0.98,603.72,0,6.87,22.58,0,5.89,0,0,19.63,0,0.98,0.98
 84-94,0,0,0,0,3.19,1.06,56.29,0,1.06,0,12.74,1.06,0,3.19,0,0,8.5,0,13.81,0,0,270.82,1.06,6.37,13.81,0,9.56,0,1.06,15.93,0,0,0
 96-106,0,0,0,0,4.37,1.09,42.62,0,1.09,0,8.74,0,0,2.19,1.09,2.19,9.84,3.28,12.02,1.09,1.09,230.59,0,5.46,21.86,0,8.74,0,0,5.46,0,1.09,0
108-118,0,0,0.77,0,3.06,0,45.19,0,0,0.77,12.26,0,0,0.77,2.3,0,9.19,0,10.72,0,0.77,244.34,0,2.3,22.21,0,6.13,0,0,3.06,0,0,0
120,0,0,0,0,5.88,1.96,54.87,1.96,0,1.96,11.76,0,0,1.96,0,0,9.8,0,7.84,0,0,409.6,0,3.92,25.48,0,7.84,0,0,3.92,0,0,0
