stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,immune,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,5.26,0,0,13.14,0,0,0,5.26,0,0,0,0,0,70.98,0,0,0,23.66,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,50.35,0,0,0,22.03,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,0,2,4,0,0
 24-34,0,0,0,1.64,0,1.64,0,0.82,0,0,0.82,0,2.46,0,0.82,37.76,0,0,1.64,0,1.64,0,0,2.46,0.82,8.21,0,0
 36-46,0,0,0,0,0,3.22,0,1.61,0,0,0,0,0,0,0,16.11,0,0,0,0,1.61,0,0,0,0,4.03,0,0
 48-58,0,0,0,0,0,8.03,0,4.02,1.15,0,0,0.57,1.72,0,0,13.2,0,0,0,0,0.57,0,0,0.57,0,4.02,0,0
 60-70,0,0,0,1.96,0,7.85,0,6.87,0.98,0,0.98,0,6.87,0.98,0.98,11.78,0.98,0,0.98,0,0,0,0,0,0,2.94,0,0
 72-82,0,0,0,0.98,0.98,4.91,0.98,1.96,0,0,0,0,2.94,0,0.98,11.78,0,0,0,0,0,0,0.98,0,0,2.94,1.96,0
 84-94,0,0,0,0,0,5.31,0,1.06,0,0,1.06,0,3.19,0,0,4.25,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,1.09,0,1.09,0,0,2.19,0,0,0,0,8.74,0,1.09,0,0,1.09,0,0,0,0,1.09,0,0
108-118,0,0,0,0.77,0,3.06,0,4.6,0.77,0,0,0,3.06,0.77,0.77,3.83,0,0.77,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,5.88,0,0,0,0,1.96,0,0,0,1.96,3.92,0,0,0,0,1.96,0,0,0,0,3.92,3.92,1.96
