stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,60.46,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,116.44,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,2,0,1,0,1,2,0,0,0,0,0,1,0,4,0,0,1,20,2,0,0,0,1,0,1,6,3,0,0,0,0,0
 24-34,0,0,0,109.17,0,3.28,2.46,0,0,2.46,0,0,0,0.82,0,0,0,0,10.67,0.82,0,0.82,33.66,3.28,0,3.28,0,12.31,0,0,4.93,13.13,0,0,0.82,0,0
 36-46,0,0,0,173.22,0,0.81,4.03,3.22,0,4.83,0,0,0,0,0,0,0,0.81,5.64,3.22,0,0.81,22.56,0,0,1.61,0,8.86,0,0,0,8.86,0,0,0.81,0,0
 48-58,0,0,0,311,0,7.46,1.15,28.69,0,26.4,0,0,0,0,0.57,0.57,0.57,1.15,29.84,3.44,1.15,1.15,51.64,0,0.57,9.75,0,6.31,0,0,0,14.35,0,0,0,0,0
 60-70,0,0,0,340.59,0,6.87,0,30.43,0,44.17,0,0.98,0,0,0,0.98,0,0.98,84.41,5.89,0,1.96,49.08,0,0.98,13.74,0,8.83,0,1.96,0,11.78,0,0.98,0,0.98,0
 72-82,0,0,0,509.48,5.89,15.71,0.98,60.86,0.98,88.35,0,0,0,1.96,0.98,0.98,0,0,100.13,6.87,0.98,1.96,57.92,0,1.96,29.45,0,3.93,0,0,0,13.74,3.93,0,1.96,0,0
 84-94,0,0,0,1043.98,1.06,15.93,1.06,129.57,0,52.04,2.12,0,0,2.12,1.06,0,0,1.06,82.84,16.99,0,0,32.92,0,2.12,18.05,0,6.37,0,0,0,9.56,21.24,0,0,1.06,1.06
 96-106,0,0,0,959.52,3.28,20.76,0,90.71,1.09,104.91,5.46,0,1.09,2.19,0,0,0,0,49.18,15.3,0,1.09,42.62,1.09,5.46,30.6,1.09,5.46,0,0,0,20.76,15.3,1.09,0,2.19,0
108-118,0,0,0,997.28,0.77,5.36,0,144,0,66.64,3.83,0,0.77,0.77,0.77,0,0,0,22.98,9.19,1.53,0.77,30.64,0.77,3.06,19.92,0,6.89,0.77,0,0,9.96,22.21,0.77,1.53,0.77,0.77
120,0,0,0,527.18,0,9.8,0,70.55,0,41.16,0,1.96,0,3.92,0,0,0,0,15.68,3.92,0,0,19.6,0,0,19.6,1.96,1.96,0,0,0,3.92,5.88,0,0,0,0
