stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,ionocyte,mesenchyme,muscle,neural,pericytes,periderm,presomitic.mesoderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,2,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,1.61,0,0,0,0
 48-58,0,0,1.15,0,0.57,0,0,0,1.15,0,0,0,0
 60-70,0.98,0,0,0,0.98,0,1.96,0.98,2.94,0,0,0,0
 72-82,0.98,0,0.98,0,0.98,0,0.98,0,0,0.98,0,0,0.98
 84-94,0,0,3.19,0,0,1.06,1.06,1.06,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0.77,0.77,0,0,0,0,0,2.3,0,0,0,0
120,0,0,1.96,0,0,0,3.92,0,1.96,0,1.96,0,0
