stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,0,0,24,0,0,0,0,0,31,0,0,3,9,0,0,0,1,0,0,1,0,0,2,4,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,12.31,0,0,0,0,0,4.1,0,0,3.28,10.67,0,0,0,0,0,3.28,0,0.82,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,10.47,0,0,0,0,0,3.22,0,0,2.42,12.89,0,0,0,0.81,0,0,0.81,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,6.31,7.46,0,0.57,1.72,0,5.16,0,0,0,0,0,4.59,0,0,16.07,23.53,0,1.15,0,0,0,0,0,0,6.31,0,4.02,0,0.57,0,0
 60-70,0,0,2.94,0,0,10.8,17.67,0,0,0.98,0,5.89,0.98,0,0,0,0,4.91,0,0.98,17.67,26.5,0.98,0,0,0,0,0.98,0,0,9.82,0,2.94,0,0,0,0
 72-82,0,0,1.96,0.98,0,21.6,23.56,0,2.94,4.91,0,1.96,0.98,0,0,0,0.98,11.78,0,1.96,11.78,36.32,0.98,0,0,0,0,1.96,0,0,0.98,0,2.94,0,0.98,0.98,0
 84-94,0,0,1.06,3.19,0,18.05,22.3,0,1.06,4.25,0,4.25,0,0,0,0,0,12.74,0,0,6.37,27.61,0,0,0,0,1.06,1.06,0,0,4.25,0,0,1.06,1.06,2.12,1.06
 96-106,0,0,9.84,2.19,0,15.3,31.69,2.19,0,2.19,2.19,9.84,0,0,0,0,1.09,9.84,0,0,7.65,22.95,0,1.09,0,0,0,4.37,0,0,2.19,0,2.19,0,1.09,0,0
108-118,0,0,4.6,2.3,0.77,8.43,24.51,0,0.77,3.83,0.77,7.66,0,0.77,0,1.53,1.53,8.43,0.77,0,0.77,26.81,0,0,0,0,0,3.83,0,0,0.77,0,1.53,0,0,0,0
120,0,0,3.92,5.88,0,9.8,21.56,0,0,1.96,0,3.92,0,0,1.96,0,0,11.76,0,0,1.96,27.44,1.96,1.96,1.96,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0
