stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263.56,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502.63,0,0,0,0,0
  7-9,0,0,0,0,0,0,7.89,0,0,5.26,0,0,0,0,0,0,0,47.32,5.26,7.89,99.89,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,40.91,3.15,15.73,56.65,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,107,0,0,0,1,0
 24-34,0,0,0,1.64,0,0,0,0,0,0,0.82,0.82,1.64,0,0,6.57,0,18.88,0,0,64.03,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,1.61,0,0,4.03,0,0,0,0.81,7.25,0.81,39.48,0,0,45.92,0,0.81,0,0,0
 48-58,0,0,0,0.57,0,0,1.72,0,0,0,8.61,0,0,0,0.57,4.59,0.57,12.05,0,0,14.35,0,0.57,0,0,0.57
 60-70,0,0,0,0.98,0,0,1.96,0,0.98,0,9.82,0,0,0,0,7.85,0,1.96,0,0,7.85,0,0,0,0,0
 72-82,0,0,0,5.89,0,0,0,0,0.98,0,19.63,0.98,0,0,1.96,14.72,0.98,5.89,0,0,3.93,0,0,0.98,0,0
 84-94,0,0,0,5.31,0,0,1.06,0,3.19,0,28.68,1.06,1.06,0,0,9.56,0,10.62,0,0,19.12,0,0,1.06,0,0
 96-106,0,0,2.19,13.11,1.09,1.09,2.19,0,6.56,0,20.76,2.19,0,0,0,13.11,0,6.56,0,0,15.3,0,0,3.28,0,0
108-118,0,0,3.06,15.32,0,0.77,0,0.77,9.19,0,22.98,3.06,0,3.06,0,14.55,0,1.53,0,0,9.19,0.77,0,3.83,0,0
120,0,0,3.92,29.4,0,0,0,1.96,9.8,0,23.52,1.96,0,0,0,3.92,0,5.88,0,0,29.4,0,1.96,3.92,0,0
