stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,pgc,pronephros,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,5.26,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
 24-34,0,0,0,0,0.82,0.82,0.82,0.82,0.82,0.82,0,0,1.64,0.82,0.82,2.46,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,2.42,0.81,0,0,0,0,0,0.81,0,0,3.22,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,0.57,0,0,0.57,0,0,0,0,0.57,3.44,0.57,0,0,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.98,0.98,0.98,1.96,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,4.25,0,0,0,0,0,3.19,0,0,0,0,0,1.06,0
 96-106,0,0,0,2.19,0,0,0,0,1.09,1.09,0,1.09,1.09,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,1.53,0,0,0.77,0.77,0,0,0,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0,0
