stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,86.75,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,3.15,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,66.09,9.44,0,0,352.46,0,0,3.15,12.59,9.44,0,6.29,0,0,0,0,0,0
 14-21,0,3,0,34,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,52,0,0,0,1,0,1,0,250,0,1,153,24,0,0,0,0,0
 24-34,0,3.28,0,11.49,0,3.28,1.64,0.82,1.64,0,0,0,0,0.82,0,0,0,13.13,0,12.31,288.94,0,1.64,17.24,0,0,0,0,0,0,0,20.52,73.06,0,0,0.82,0,0
 36-46,0,3.22,0,1.61,0,2.42,0.81,1.61,6.45,0,0,0,0,0,0,1.61,0,23.36,0,3.22,315.82,0,2.42,8.06,0,0,1.61,0,0,0,0,0.81,88.62,0,0,0.81,0,0.81
 48-58,0,5.16,0,2.3,0,9.75,1.15,0.57,5.16,0,0,0,0,0,0,1.15,0,18.36,0,5.74,319.04,0,0.57,9.75,0,0,0,0,0,0,0,0,114.19,0,0,0.57,0,2.87
 60-70,0,1.96,0,0,0,23.56,0,0,2.94,0.98,0,0.98,0,0,0,3.93,0,33.37,0,0,488.8,0,1.96,3.93,0,0,0,0,0,0,0,0,88.34,0,0,0.98,0,0
 72-82,0,9.82,0,1.96,0,43.19,0,1.96,11.78,4.91,0,1.96,0,0,0,2.94,0,24.54,0,0,406.41,0,0,4.91,0,0,0,0,0,0,0,0,47.12,2.94,0.98,1.96,2.94,1.96
 84-94,0,3.19,0,7.43,0,47.79,0,0,9.56,6.37,0,0,0,0,0,4.25,1.06,22.3,1.06,0,216.66,0,2.12,8.5,0,0,1.06,0,0,0,0,0,16.99,5.31,2.12,0,0,1.06
 96-106,0,3.28,0,4.37,1.09,27.32,0,1.09,9.84,9.84,0,2.19,1.09,0,0,1.09,1.09,10.93,1.09,2.19,191.25,0,0,3.28,1.09,1.09,0,0,0,0,0,0,9.84,6.56,1.09,0,3.28,1.09
108-118,0,5.36,0.77,9.96,0,27.57,0,0.77,11.49,3.06,0,0,0.77,0,0,3.06,0,11.49,0.77,0,206.04,0,0.77,6.13,0,0,0,0,0,0,0,0,7.66,10.72,0,0.77,0,2.3
120,0,0,0,3.92,0,43.12,0,0,17.64,5.88,0,1.96,1.96,0,1.96,0,0,3.92,0,1.96,305.73,0,0,3.92,0,1.96,1.96,0,0,0,0,0,7.84,3.92,1.96,3.92,0,0
