stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,17,2,0,0,0,1,3,0,2,0,0,0,0,3,0,0,1,11,1,1,0,0,0,1,2,1,0,0,0,0,0
 24-34,0,0,0,3.28,0,1.64,0,0,1.64,0.82,0,0,0,0,0,0,3.28,0,0,0.82,45.15,0,0.82,0,0,0,0,0,4.1,0,0,0,0,1.64
 36-46,0,0,0,0,0,5.64,4.03,0,1.61,0,0,0,0,0,0,0.81,0,0,0,0.81,101.51,0,0.81,0.81,0,0,0,0,12.89,0,0,0,0,0
 48-58,0,0,0,0.57,0,39.02,4.02,0,6.31,0,0,0,0,0,0,0,2.87,0,0,2.3,208.86,0,0,0,0,0,1.15,0,16.07,0,0,0,0,0
 60-70,0,0,0,0,0.98,138.39,1.96,1.96,23.56,0.98,0,0,0,0,0.98,0,8.83,0,0.98,1.96,501.56,0,0.98,0,0,0.98,0.98,0,22.58,0,0,0,0,0.98
 72-82,0,0,0.98,1.96,1.96,214,0.98,0.98,29.45,0.98,0.98,0,0,0,0,0,28.47,0,0.98,1.96,589,0,0.98,0.98,0,0.98,0,0,15.71,0,0.98,0.98,0,1.96
 84-94,0,0,0,2.12,1.06,146.56,4.25,0,21.24,1.06,0,1.06,0,0,0,0,16.99,0,3.19,5.31,303.74,0,0,1.06,0,1.06,2.12,0,12.74,1.06,1.06,1.06,0,1.06
 96-106,0,0,0,1.09,3.28,125.68,2.19,0,36.06,1.09,0,0,0,2.19,0,0,19.67,0,2.19,1.09,276.49,0,1.09,2.19,1.09,6.56,1.09,0,8.74,0,2.19,1.09,1.09,0
108-118,0,0,0,4.6,0,102.64,5.36,0,22.98,0,0,0,0.77,1.53,0.77,0,21.45,0.77,0,4.6,322.47,0,0,0.77,0,0,0.77,0,4.6,0,0,0,0.77,0
120,0,0,0,5.88,3.92,74.47,3.92,0,23.52,1.96,0,0,0,0,0,0,15.68,0,1.96,0,303.77,0,0,1.96,0,0,0,0,15.68,0,0,1.96,0,0
