stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,mesenchyme,mural.cell,muscle,neural,notochord,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0
 14-21,0,0,1,1,0,0,0,3,0,0,2,0,0,1,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,0.81,0.81,0.81,0,1.61,0,0.81,0.81,0,0,0,0.81,0.81
 48-58,0,0,0,0,0.57,0,0,0,0.57,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0.98,0
108-118,0,0,0,0,0.77,0,0,0,0,0.77,1.53,0,0,0,0,0
