stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,1673.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,999.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,18.39,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,5.26,18.4,0,0,0,26.29,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,283.9,2.63,0,0,113.03,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,18.88,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267.49,9.44,0,0,91.26,0,0,6.29,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,5,11,6,0,10,0,0,0,3,1,0,0,2,0,0,0,0,9,0,0,4,139,2,2,0,2,0,0,0,18,1,0,14,39,0,0,0,0,0
 24-34,0,0,0.82,6.57,0.82,0,35.3,0,0,0.82,9.03,0.82,0,0,31.19,0.82,0,0,0.82,36.94,0,0.82,12.31,382.52,0.82,1.64,2.46,0,0,2.46,0,0,0,0,4.1,96.04,0,0,4.93,0,0.82
 36-46,0,0,0,1.61,0,0,90.23,0,0,0,2.42,0,0,1.61,62.04,0,0,0,0,20.14,0,0.81,8.06,212.7,0.81,1.61,0.81,0,0,1.61,0,0,0,0,0,53.17,0,0,1.61,0,0
 48-58,0,0,0,1.15,1.72,0,91.81,0,0.57,0,7.46,1.15,0.57,1.15,76.89,0,0,0.57,0,24.1,0,2.3,4.59,76.32,0,0,1.72,0,0,0.57,0,0,0,1.15,0,20.08,0,0,1.72,0,1.15
 60-70,0,0,0,3.93,0,0,88.34,0,0,0,9.82,0.98,0,0,79.5,0,0.98,0.98,0,23.56,0,0,2.94,40.24,0,0.98,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0.98,0,0
 72-82,0,0,0,1.96,1.96,0,40.25,0,0,1.96,9.82,0,0,0.98,132.52,0,0,0.98,0,36.32,0.98,3.93,4.91,50.06,0,0.98,0.98,0,0,0.98,0,0,0.98,0,0,4.91,0,0,0.98,0.98,0
 84-94,0,0,0,4.25,6.37,0,37.17,0,0,2.12,16.99,1.06,0,0,173.11,1.06,2.12,0,0,28.68,0,2.12,3.19,23.36,2.12,1.06,2.12,0,1.06,6.37,0,0,0,0,0,4.25,0,0,3.19,2.12,0
 96-106,0,0,1.09,2.19,5.46,0,34.97,0,1.09,0,17.49,2.19,0,1.09,209.83,1.09,3.28,3.28,0,26.23,1.09,4.37,2.19,29.51,3.28,2.19,5.46,0,1.09,4.37,0,0,1.09,0,0,1.09,0,0,4.37,0,0
108-118,0,0,0,6.13,6.13,0,31.4,1.53,0.77,0.77,13.79,3.06,0,0,157.02,0,1.53,1.53,0.77,26.04,0,0.77,3.83,49.02,1.53,3.06,1.53,0,0,10.72,0,0,0,0,0,1.53,0.77,0,3.83,0,0.77
120,0,0,0,15.68,5.88,1.96,21.56,1.96,3.92,0,25.48,0,0,0,176.38,0,0,1.96,0,33.32,1.96,0,1.96,54.87,1.96,1.96,0,0,0,19.6,0,0,3.92,1.96,0,0,0,0,1.96,1.96,0
