stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,7,0,0,0,0,0,2,28,0,0,1,0
 24-34,0,1.64,0.82,3.28,0,0.82,0,0.82,0,0.82,0,0,0,0,5.75,0,0,13.95,72.24,1.64,0,0,0,0,0,36.12,0,0,4.1,0
 36-46,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0.81,16.11,0,0.81,4.83,182.08,0,0,0,0,0,0,37.06,0,0,4.83,0
 48-58,0,1.15,0,22.38,0,6.89,0,0,0,0,0,0.57,0,0,13.2,0,0,1.15,267.39,0,1.15,0,0,1.72,0,44.18,0,0,0,0
 60-70,0.98,0.98,0,65.76,0,9.82,0,0,0.98,0.98,0,0,0,0,10.8,0,0.98,0.98,543.76,0,0.98,0,0,0,0,67.73,0,0,1.96,0
 72-82,2.94,3.93,0.98,79.51,0,15.71,0.98,0,0.98,0,0.98,0,0,0,15.71,0,0,0.98,506.54,0.98,0.98,0,0,1.96,0,42.21,1.96,0,0.98,0
 84-94,0,2.12,1.06,59.47,1.06,12.74,0,0,2.12,0,1.06,0,0,0,11.68,0,3.19,1.06,231.52,0,0,0,0,2.12,0,22.3,0,0,0,0
 96-106,1.09,6.56,1.09,59.01,0,14.21,0,0,0,0,0,1.09,1.09,0,8.74,1.09,0,0,253.54,2.19,3.28,0,0,7.65,0,10.93,1.09,0,3.28,2.19
108-118,0.77,0.77,0.77,45.96,0,5.36,0,0,0,0,0,0,0,0,6.13,0,0,0.77,275.75,0,0.77,0,0,0.77,0,9.96,0,0.77,0,0
120,0,5.88,1.96,54.87,1.96,15.68,1.96,1.96,1.96,0,0,0,0,0,3.92,0,0,0,358.64,0,0,0,1.96,0,0,7.84,0,0,1.96,0
