stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,2,0,24,0,0,0,0,0,1,13,0,0,0
 24-34,0,0,0,0,0,6.57,0,0,0,0,0,0,0,0,0,3.28,0,35.3,1.64,0,0,0,0,0,14.78,0.82,0,0
 36-46,0,0,0,0,0,8.86,0,0,1.61,0,0,0,0,0,0,0,0,75.73,0,0.81,0,0,0.81,0,11.28,0,0,0
 48-58,0,0,0.57,0,0,24.1,0,0,4.59,0,0,0,0,0,0,5.16,0.57,83.78,0,0.57,0,0,0,0,14.92,0,0,0
 60-70,0,0,0.98,0,0,10.8,0,0.98,1.96,0,0,0.98,0,0,0,3.93,0,43.19,0.98,0,0,0.98,0,0,3.93,0,0,0
 72-82,0,0,0,0,0,27.49,0,0.98,5.89,0.98,0.98,0,0,0.98,0,3.93,0,48.1,0,0.98,0,0,0.98,0,9.82,0,0.98,0
 84-94,0,0,1.06,4.25,0,24.43,0,0,7.43,0,1.06,0,0,1.06,0,14.87,0,55.23,1.06,2.12,0,0,1.06,0,7.43,1.06,1.06,0
 96-106,0,0,0,0,0,8.74,0,0,2.19,0,3.28,1.09,0,0,0,3.28,0,5.46,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,2.3,0.77,19.92,0.77,0,3.83,2.3,0.77,0.77,0,0,0,3.06,0.77,32.17,0.77,3.06,0,1.53,0,0,0.77,0,0,0
120,0,0,1.96,1.96,0,3.92,0,0,0,0,1.96,0,1.96,1.96,1.96,3.92,3.92,23.52,0,0,0,1.96,0,0,0,0,0,0
