stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250.38,0,0,0,0,0,0,0,0
  5-6,18.39,134.85,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,232.93,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.98,0,0,0,7.89,0,28.92,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,3.15,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,5,53,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,1,4,4,0,1,0,0,29,2,5,1,0,0,0,0,0
 24-34,0,0,0.82,4.93,87.01,0,0,1.64,0,0,0.82,2.46,0,0,0,2.46,2.46,2.46,0.82,0.82,0,0.82,21.34,17.24,4.1,0.82,0,0,87.83,0,9.85,9.03,0,0,4.1,0,0
 36-46,0,0,0,0,45.12,0,0,3.22,4.03,0,0,2.42,0.81,3.22,0,0,0,3.22,1.61,0.81,0,0,34.64,12.09,6.45,0.81,0,0,73.32,0,3.22,9.67,0,0,3.22,0,0.81
 48-58,0,0,0,0.57,28.69,0,0,4.59,6.89,0.57,0,2.87,1.15,1.15,0,0,0.57,1.15,1.72,2.3,0.57,0.57,18.36,6.31,2.3,1.72,0,0.57,40.74,0,0.57,0.57,0,0,3.44,0,0
 60-70,0,0,0,0,53,0,0,5.89,10.8,0,1.96,7.85,0.98,0.98,0,0,0,1.96,5.89,3.93,1.96,0.98,11.78,2.94,0,1.96,0,0,48.09,0,2.94,2.94,0,0,7.85,0,0
 72-82,0,0,1.96,0.98,58.9,0,0,0.98,15.71,0,1.96,14.72,0.98,0,0,0.98,4.91,1.96,8.83,5.89,2.94,0,11.78,2.94,0.98,4.91,0,1.96,55.95,0,0,0,0.98,0,16.69,0,0
 84-94,0,0,1.06,0,118.95,0,1.06,4.25,21.24,0,3.19,36.11,4.25,1.06,1.06,1.06,0,8.5,8.5,7.43,1.06,1.06,9.56,9.56,6.37,5.31,0,1.06,144.44,0,4.25,3.19,2.12,1.06,11.68,2.12,0
 96-106,0,0,0,1.09,145.35,1.09,5.46,7.65,17.49,1.09,2.19,42.62,0,0,0,4.37,8.74,8.74,12.02,10.93,1.09,3.28,18.58,4.37,5.46,3.28,0,2.19,149.72,0,4.37,5.46,4.37,1.09,12.02,0,0
108-118,0,0,0,0,175.41,0,8.43,1.53,42.13,0,2.3,47.49,0,1.53,3.06,5.36,6.13,9.19,13.02,3.06,3.83,0,10.72,3.83,5.36,8.43,0,0.77,125.62,0,2.3,0,5.36,1.53,10.72,2.3,0.77
120,0,0,0,0,152.86,0,0,1.96,27.44,0,1.96,52.91,0,0,3.92,3.92,1.96,11.76,7.84,5.88,3.92,0,7.84,3.92,7.84,5.88,0,1.96,119.55,0,5.88,0,3.92,0,11.76,1.96,0
