stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,10,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,19,0,0,0,2,1,0,0,3,9,0,0,0,0
 24-34,0,4.93,0,0,3.28,1.64,0,2.46,1.64,0,0,0,0.82,0,0.82,0,0,0,0.82,0,1.64,62.39,0.82,1.64,0,8.21,0,0.82,0,1.64,16.42,0,0,0,0.82
 36-46,0,1.61,1.61,0,4.83,1.61,0,1.61,0,0,0,0,0.81,0,0,0,0,5.64,0,0,0.81,45.12,0,1.61,0,10.47,0,0,0,0,8.86,0,1.61,0,0
 48-58,0,3.44,0,0,8.61,0.57,0.57,4.02,0,0,0.57,0,0,0,0.57,0,0.57,2.87,0,0,1.15,36.15,0,1.15,0,4.59,0,0,0,0,9.18,0,0.57,0,0
 60-70,0.98,10.8,0,0,13.74,4.91,0,1.96,0.98,0,0.98,0,0.98,0.98,0,0,0,6.87,0,0.98,1.96,48.09,0,0.98,0,9.82,0,0,0,0,3.93,0,2.94,0,0
 72-82,2.94,10.8,0.98,0,29.45,0.98,0.98,14.72,3.93,0.98,0,2.94,0.98,0.98,0,0.98,0,14.72,0,0.98,1.96,65.77,1.96,3.93,3.93,10.8,0,0,0,0,5.89,0,0.98,0,0.98
 84-94,1.06,7.43,1.06,1.06,22.3,5.31,0,2.12,1.06,1.06,0,2.12,3.19,0,1.06,0,0,4.25,1.06,0,1.06,24.43,0,2.12,2.12,27.61,0,1.06,0,0,1.06,0,0,1.06,0
 96-106,0,10.93,1.09,0,8.74,4.37,0,6.56,2.19,0,0,0,2.19,0,0,0,0,7.65,0,1.09,0,18.58,0,0,3.28,18.58,0,0,0,0,1.09,0,0,2.19,0
108-118,1.53,6.89,0,0.77,6.13,7.66,0,4.6,1.53,0,0,2.3,4.6,0.77,0,1.53,0.77,5.36,0,0,1.53,32.17,0.77,1.53,0.77,19.15,0,1.53,0.77,0,1.53,1.53,1.53,0,0
120,0,23.52,0,0,0,7.84,0,1.96,3.92,0,0,0,1.96,0,0,0,0,3.92,0,0,1.96,19.6,0,1.96,1.96,11.76,0,0,0,0,0,0,1.96,1.96,0
