stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,1,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0,0,13.13,0,1.64,0,2.46,0,0,0,0,0,0,123.13,0,0,58.28,14.78,1.64,0,0,0.82,0,0,0,0,9.85,20.52,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,4.03,0,4.03,36.26,3.22,2.42,0,8.06,0,0,0,0,0,0,505.15,0,4.83,102.32,20.95,0,0,0,0.81,0,0,0,0.81,0,18.53,0,3.22,0,0.81,0.81
 48-58,0,0,0,4.02,0,0,16.07,0,8.61,77.46,2.3,0.57,0.57,15.49,0.57,0.57,0,0,0,0,877.92,0,10.33,119.93,40.74,0.57,0,0.57,2.3,1.72,0,0,0,0,23.53,0,5.74,0,0.57,0.57
 60-70,0.98,0,0,8.83,0.98,0,29.45,0,9.82,96.19,5.89,3.93,0,14.72,0,0,0,0.98,0.98,0,1606.75,0.98,44.17,142.32,53,0,0.98,0.98,8.83,0,0,0,0.98,0,8.83,0,34.35,1.96,10.8,2.94
 72-82,0,0,0,14.72,0.98,0,106.02,0.98,14.72,179.64,17.67,27.49,0,19.63,0,1.96,0.98,0.98,0,0.98,2384.46,0,72.64,180.63,96.2,0.98,0,4.91,12.76,4.91,0,0,0,0,15.71,2.94,79.51,1.96,62.83,0.98
 84-94,0,0,0,28.68,0,0,160.37,1.06,27.61,128.51,8.5,42.48,0,16.99,2.12,5.31,2.12,0,1.06,0,1726.87,0,60.54,130.63,38.23,0,1.06,2.12,8.5,1.06,0,1.06,0,0,12.74,0,66.91,5.31,53.1,2.12
 96-106,0,0,0,36.06,2.19,1.09,137.7,2.19,40.44,138.79,32.79,40.44,0,25.14,7.65,1.09,1.09,3.28,2.19,1.09,2070.94,1.09,76.5,130.05,128.96,3.28,4.37,4.37,24.04,8.74,0,1.09,0,0,14.21,1.09,79.78,6.56,83.06,2.19
108-118,0,0,0,19.15,4.6,0.77,53.62,0.77,46.72,130.98,15.32,42.89,0,15.32,3.83,3.06,1.53,0.77,0.77,0,1948.61,0.77,54.38,130.21,107.23,3.06,0,5.36,19.92,2.3,0,0,0,0,9.19,2.3,49.79,7.66,53.62,1.53
120,0,0,0,13.72,0,1.96,43.12,0,31.36,88.19,7.84,11.76,0,19.6,3.92,3.92,0,0,1.96,0,1081.8,0,29.4,68.59,60.75,0,0,3.92,11.76,5.88,0,0,0,0,9.8,0,56.83,1.96,47.03,1.96
