stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,31.54,2.63,0,28.92,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,6.29,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,6.29,0,25.18,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,2,0,0,2,5,0,0,0
 24-34,0,0,0.82,0.82,1.64,0,0,0,0.82,0,0,0,0,0.82,0,4.93,0,2.46,54.18,0.82,0,0,4.1,0,0,0,0,10.67,0,1.64,0
 36-46,0,0,0,0,1.61,0,0,0,6.45,0,0,0,0,0.81,0,3.22,0,0,49.95,0,0,0,1.61,0,0,0.81,0,17.72,0,0.81,0
 48-58,0,0,0,1.72,2.87,0,0.57,0,7.46,0,0,0,0,1.72,0,4.59,0,0,20.08,0,0,0,1.15,0,0,0.57,0,16.07,0,0,0
 60-70,0,0,0,0.98,8.83,0.98,2.94,0,12.76,0,0,0,0,1.96,0,7.85,0.98,0.98,13.74,0,0,0,2.94,0,0,0,0,4.91,0.98,0,0.98
 72-82,0,0,0,1.96,0.98,0,0,0.98,4.91,0,0,0,0,3.93,0,5.89,0,0.98,10.8,0,0,0,0,0,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,4.25,5.31,1.06,0,0,8.5,0,0,0,1.06,0,0,2.12,0,0,7.43,0,0,0,4.25,0,0,0,0,1.06,0,0,0
 96-106,0,0,0,3.28,2.19,1.09,2.19,0,4.37,0,0,0,0,0,0,3.28,3.28,1.09,5.46,0,0,0,7.65,0,0,0,0,0,1.09,0,0
108-118,0,0,0,3.06,2.3,0,1.53,0,4.6,0,0,0.77,0,0,0.77,3.83,0,0.77,2.3,0.77,0,0,3.06,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,1.96,0,3.92,7.84,0,1.96,0,1.96,0,0,0,0,0,0,0,0
