stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0
 14-21,1,2,7,0,0,0,0,0,2,0,0,0,0,0,8,0,5,33,0,0,2,0,0,0,18,0,3,58,12,0,0,0
 24-34,0,3.28,0.82,0,0,0,0,0,0.82,0.82,0.82,0,1.64,0,10.67,0,13.95,32.83,2.46,2.46,2.46,0,0,0.82,0,0,0.82,9.03,4.1,0,0.82,0.82
 36-46,0,0,0,1.61,0,0,1.61,0,0,1.61,0,0,0,0,4.83,0,5.64,10.47,0.81,1.61,0,0,0,0,0,0,0.81,0.81,3.22,0,0.81,0
 48-58,0,1.15,0,0.57,0.57,0.57,1.72,1.15,0,0,0,0,1.72,0.57,17.21,0.57,5.74,7.46,0.57,0,0,0,0,0,0,0,0,0,2.87,0,0,0
 60-70,0,0,0,0,0.98,0,3.93,0.98,0,0,1.96,0,0,0,8.83,0.98,8.83,9.82,0,1.96,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0.98,0,1.96,0.98,0,1.96,1.96,0.98,0.98,1.96,0,1.96,0,32.39,0,5.89,6.87,0,0,0.98,0,0.98,1.96,0,0,0,0,0,0,0,0
 84-94,0,1.06,1.06,3.19,0,0,1.06,1.06,0,1.06,1.06,1.06,3.19,0,16.99,3.19,15.93,8.5,0,1.06,1.06,0,0,0,0,0,3.19,0,0,0,0,1.06
 96-106,0,1.09,1.09,2.19,1.09,0,1.09,10.93,0,2.19,4.37,0,2.19,0,24.04,0,5.46,6.56,0,4.37,2.19,0,0,0,0,1.09,1.09,0,0,1.09,1.09,0
108-118,0,2.3,0,0.77,2.3,0,2.3,0,0,0,3.83,0,0.77,0,9.96,1.53,12.26,8.43,0,1.53,3.83,0,1.53,0,0,0.77,1.53,0,0,0,2.3,0
120,0,3.92,0,0,0,0,0,1.96,0,0,7.84,0,3.92,0,7.84,0,15.68,9.8,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
