stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
 14-21,0,3,0,0,0,0,0,1,0,0,0,0,2,0,0,0,9,1,0,0,1,0,0,1,1,0,0
 24-34,0.82,4.93,0,4.93,0,0,0,0,0,0,0.82,0.82,1.64,0,0,3.28,31.19,0,0.82,0.82,4.93,0,0,0.82,9.85,0.82,0
 36-46,0,1.61,0.81,2.42,0,0.81,1.61,0.81,0,0,0,0,2.42,0,0,0.81,20.14,0.81,0,0,3.22,0,0,0,2.42,0,0
 48-58,0,0,0.57,6.89,0,0,0.57,0,0,0,0,0,4.02,0,0,0,19.51,0,0,0,1.15,0,0,0,1.72,0,0
 60-70,0,1.96,0,6.87,0,0,0.98,0,0.98,0,1.96,0,5.89,0,0,0,14.72,0,0,0.98,1.96,0.98,0.98,0,1.96,0,0
 72-82,0,0,0,5.89,0.98,0,1.96,0,0,0,0,0,9.82,0,0,0,24.54,0,0.98,0,2.94,0,0,0,0.98,0.98,0
 84-94,0,2.12,1.06,3.19,0,0,0,0,0,0,0,0,4.25,1.06,0,1.06,2.12,0,0,1.06,3.19,0,0,0,1.06,0,0
 96-106,0,1.09,0,0,0,0,2.19,0,0,0,0,0,6.56,0,0,1.09,6.56,0,0,0,2.19,0,0,0,0,0,0
108-118,0,1.53,0,3.06,1.53,0,0,2.3,0,0.77,0,0,5.36,0.77,0.77,0,7.66,0,0,1.53,4.6,0,0,0,0,0,0
120,0,3.92,1.96,5.88,1.96,0,1.96,0,0,0,1.96,0,1.96,0,0,0,17.64,0,1.96,0,1.96,0,0,0,0,0,1.96
