stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,8,0,1,0,0,0,1,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,0,0,0,0,1.64,0.82,0.82,0,0.82
 36-46,0,0,0,0,0,1.61,0,0,0,0,0.81,0,3.22,0,0,7.25,0,0,0,0,0,0,4.83,0,0.81
 48-58,0,0,0,0,0.57,0.57,0.57,0.57,0,0,1.15,0.57,2.87,0,0,1.15,0,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,0,1.96,0,0.98,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,2.94,0,0,0,0,8.83,0,0,0,0,0,0,0,0.98,0,0,0,0.98
 84-94,0,0,0,1.06,0,2.12,0,0,0,0,0,0,3.19,0,0,1.06,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,0,0,2.19,0,3.28,0,0,0,0,6.56,1.09,0,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0.77,0,2.3,0.77,0,0,0,4.6,0,0.77,1.53,0.77,0,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
