stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,92.25,737.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,12.26,367.78,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,12.26,0,0,0,0,0,0,0
  7-9,7.89,5.26,5.26,0,0,28.92,0,0,0,0,7.89,0,0,0,0,0,0,0,257.61,13.14,0,0,105.15,0,0,0,0,0,0,0,0
 10-12,0,15.73,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,191.97,6.29,0,0,69.23,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,6,1,3,0,0,0,0,0,0,0,0,5,0,0,5,28,2,0,0,1,1,3,1,5,14,0,0,0
 24-34,0,0,0,1.64,0,9.03,0,0,2.46,0,0,0,0,0,4.93,0.82,0,4.1,58.28,0,0.82,1.64,0,0.82,0,0,2.46,17.24,0,0.82,0
 36-46,0,0,0,0.81,0,19.34,0,0,2.42,0,0,0,0,0,9.67,0,0,2.42,86.21,0,0.81,0,0,0.81,0,0,0,13.7,0,1.61,0
 48-58,0,0,0,1.15,0,29.26,0,0,2.87,0,0,0,0,0,9.75,0,0,1.15,67.14,0,0,1.15,0,0,0,0,0,9.18,0,1.15,0.57
 60-70,0,0,0,0.98,0,38.28,0.98,0.98,4.91,0,0,0.98,0,0.98,12.76,0,0,0.98,78.52,0,0,0,0,0,0,0,0,5.89,0,0,0
 72-82,0,0,0,0.98,0,24.54,0,0,5.89,0.98,0,0,0,0,6.87,0,1.96,5.89,50.06,0,0.98,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,0,0,2.12,0,13.81,0,1.06,1.06,1.06,0,1.06,0,1.06,9.56,0,0,2.12,16.99,0,1.06,0,0,0,0,1.06,0,2.12,0,2.12,1.06
 96-106,0,0,0,2.19,0,3.28,0,0,1.09,0,0,0,0,1.09,5.46,0,0,2.19,19.67,0,0,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0,3.06,0,0,0.77,0,0,0.77,0.77,0.77,0.77,0,0,3.06,16.09,0,0,0,0,0.77,0,0,0,0,0.77,1.53,0.77
120,0,0,0,0,1.96,3.92,0,0,0,1.96,0,0,0,0,0,0,0,0,19.6,0,0,0,0,1.96,0,0,0,0,0,1.96,0
