stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,65.89,1423.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0
  5-6,42.91,300.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,91.94,0,0,0,0,0,0,0
  7-9,7.89,0,0,28.92,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,44.69,2.63,0,0,2.63,47.32,2.63,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.91,9.44,0,0,12.59,31.47,0,0,0,0,0,0,0
 14-21,0,0,1,0,4,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,38,0,3,1,8,0,0,0
 24-34,0,0,0,0,3.28,0,0,0,0.82,2.46,0,0,0.82,0,0,0,0,0,0,0,0,6.57,0.82,0,0,0,109.17,0,7.39,0,9.85,0,0.82,0
 36-46,0,0,0,0,3.22,0.81,1.61,0.81,0.81,0.81,0,0,0.81,0,0,0,0,0.81,0,0,0,12.89,0,0.81,0,0,129.71,0,3.22,0,8.06,0,0,0
 48-58,0,0,0,0,0.57,0,2.87,0,0,2.87,0.57,0,0,0,0,0,1.72,0,1.15,0,0,10.33,0.57,1.72,0,0,45.33,0,0.57,0,7.46,0,0.57,0
 60-70,0,0,0,0,4.91,0,4.91,0,0.98,1.96,0.98,0,2.94,0,0,0,0,0.98,0.98,0,0.98,10.8,0,0.98,0,0,69.69,0,0,0,0.98,0,0.98,0.98
 72-82,0,0,0,0,8.83,0,5.89,0,1.96,2.94,1.96,0,3.93,0,0,0,0.98,3.93,2.94,0,0.98,13.74,0,0.98,0.98,0,74.61,0,0.98,0,0.98,0,0.98,0
 84-94,0,0,0,0,29.74,0,7.43,0,5.31,0,6.37,0,3.19,0,0,0,0,4.25,3.19,1.06,0,3.19,0,0,0,0,267.63,0,3.19,0,0,0,0,0
 96-106,0,0,0,0,31.69,1.09,6.56,0,7.65,1.09,3.28,0,16.39,0,0,1.09,0,3.28,5.46,2.19,0,7.65,0,0,0,0,264.47,0,1.09,0,1.09,1.09,0,0
108-118,0,0,0,0,50.55,0,1.53,0,7.66,1.53,9.19,0,7.66,0.77,0.77,1.53,0,3.83,6.89,0,0,7.66,0,0,0,0,195.32,0,0.77,0,0,3.06,0.77,0
120,0,0,0,0,47.03,0,3.92,0,7.84,0,5.88,0,9.8,0,0,0,0,0,7.84,0,0,9.8,0,0,0,0,150.9,0,3.92,0,3.92,1.96,0,1.96
