stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,4,3,0,3,0,0,0,3,1,0,0,0,1,0,0,0,2,0,0,3,40,0,1,7,0,0,0,2,0,0,17,13,0,0,0
 24-34,0,0,1.64,0,0,7.39,3.28,0,0,0,0,0,2.46,0,0,0,0.82,0,13.95,0,0.82,19.7,44.33,0,1.64,16.42,0,0,0,0,0,1.64,18.88,18.88,0,0,0
 36-46,0,0,0,1.61,0,4.83,4.83,0.81,0.81,0,0,0,1.61,0,0.81,0.81,0,0,24.98,0,0.81,10.47,24.98,0,3.22,10.47,0,0,0,0,0.81,2.42,4.03,11.28,0,0,0.81
 48-58,0,0,0,0,0,6.89,4.02,0.57,0.57,0.57,0,0,2.87,0,0.57,1.72,0,0,32.71,0,0.57,13.77,15.49,0,0,13.2,0,0,0,0,0,1.15,0,5.74,0,0,0
 60-70,0,0,0,0,0,7.85,35.33,0.98,0,0,0,0,0.98,0,0,3.93,3.93,0,61.84,0,0.98,20.61,13.74,0,0,13.74,0,0,0.98,0,0,0.98,0,0.98,0,0.98,0
 72-82,0,0,0,0,0,13.74,52.03,0.98,0.98,3.93,0,0,1.96,0,0.98,4.91,13.74,0,78.53,0,0,16.69,15.71,0,0,43.19,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,1.06,1.06,1.06,1.06,12.74,66.91,0,0,3.19,0,0,1.06,0,1.06,3.19,28.68,0,66.91,0,0,15.93,8.5,0,0,62.66,0,1.06,1.06,0,0,2.12,0,1.06,0,0,0
 96-106,0,0,2.19,0,3.28,6.56,74.31,1.09,1.09,1.09,1.09,0,1.09,1.09,0,7.65,49.18,0,64.48,1.09,0,7.65,16.39,1.09,0,67.76,0,0,0,0,0,1.09,0,0,1.09,1.09,1.09
108-118,0,0.77,1.53,0,0,3.06,65.87,0,2.3,2.3,0,0,0,2.3,2.3,6.13,127.92,0.77,61.28,0,0.77,19.92,20.68,0,0,50.55,0,0,0,0,0.77,1.53,0,1.53,0,0,0.77
120,0,0,0,0,0,5.88,56.83,0,1.96,0,1.96,0,0,1.96,0,1.96,39.2,0,35.28,1.96,3.92,15.68,11.76,0,0,31.36,0,0,1.96,0,0,0,0,1.96,0,0,0
