stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vasculature,xanthophores
  3-4,316.27,4440.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276.74,0,0,0,0,0,0
  5-6,226.8,3113.85,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.2,6.13,0,0,24.52,36.78,0,0,0,0,0,0
  7-9,21.03,21.03,0,5.26,0,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,286.53,18.4,0,0,84.12,0,18.4,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,6.29,0,0,12.59,3.15,12.59,0,0,0,0,0
 14-21,0,0,0,4,298,1,0,0,0,1,0,0,3,0,1,0,8,0,0,1,0,1,0,1,12,0,1,2,0,43,2,1,4,0,0,0
 24-34,0,0,0,2.46,255.29,0.82,0,3.28,0,10.67,0,0,2.46,0,0,0,13.95,0,3.28,0,2.46,5.75,0,1.64,36.12,0,3.28,1.64,0,216.71,0,2.46,3.28,0,0,0.82
 36-46,0,0,0,0,132.94,0,0,5.64,0.81,24.17,0,0.81,0,0,0,0,4.03,0,0.81,0,0.81,1.61,0,0,24.98,0,8.06,4.03,0,188.53,0.81,4.03,3.22,0,0,0
 48-58,0,0,0,0.57,92.38,0,0,1.72,0,38.44,0.57,0.57,1.72,1.72,0,0,2.87,0,1.72,0.57,4.02,2.87,0,0,10.33,0,5.16,1.72,0,95.25,0,0.57,0,0,0,0
 60-70,0,0,0.98,0.98,91.28,0,0,8.83,0,34.35,0,0,3.93,0,0,0,1.96,0,0.98,0,0.98,5.89,0,0,13.74,0,9.82,1.96,0,95.21,0,0.98,0.98,1.96,0,0
 72-82,0,0,3.93,0,100.13,0,0,2.94,0,43.19,0.98,1.96,14.72,0,0,0.98,4.91,0,4.91,1.96,2.94,3.93,0,0,14.72,0,16.69,0.98,0,99.15,0,0.98,0,5.89,0.98,0
 84-94,0,0,1.06,0,194.35,0,1.06,1.06,0,69.03,0,0,11.68,0,0,0,9.56,2.12,4.25,0,2.12,2.12,0,1.06,7.43,0,2.12,0,0,231.52,0,4.25,1.06,8.5,0,0
 96-106,0,0,1.09,0,220.76,1.09,1.09,4.37,0,62.29,0,3.28,18.58,0,0,1.09,8.74,0,2.19,2.19,1.09,6.56,0,1.09,20.76,0,17.49,5.46,0,187.97,0,0,0,17.49,1.09,0
108-118,0,0,0.77,0,275.75,0,0,1.53,0,91.92,0.77,0.77,23.74,0,0,1.53,10.72,0,2.3,2.3,2.3,8.43,0.77,0,6.13,0,8.43,2.3,0,146.3,0,0.77,0,11.49,0,0
120,0,0,0,1.96,241.05,0,0,3.92,0,62.71,0,0,17.64,0,0,0,11.76,1.96,3.92,1.96,1.96,1.96,0,1.96,19.6,0,7.84,5.88,0,127.39,0,0,0,7.84,0,0
