stage,epidermis,eye,glial,gut,heart,ionocyte,lateral_line,melanocytes,mesenchyme,neural,spinal_cord,taste,vasculature,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,1,1,0,0,0
 24-34,0,0,0,0,0,2.46,0,0,0.82,3.28,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,4.83,0.81,0,0,0
 48-58,0,0,0.57,0,0,0,0,0,0,5.74,1.15,0,0,0
 60-70,0,0.98,0,0,0.98,0,0,0,0,9.82,0,0,0.98,0
 72-82,0,0.98,0,0,0,0,0,0,0,4.91,0,0,0.98,0
 84-94,0,2.12,0,5.31,0,3.19,0,0,0,1.06,0,0,0,0
 96-106,0,1.09,2.19,7.65,0,0,1.09,1.09,0,0,1.09,0,0,0
108-118,0,0.77,0,16.85,0,0,0,0,0.77,1.53,0,0.77,0,0.77
120,3.92,0,1.96,5.88,0,0,0,0,1.96,0,0,0,0,0
