stage,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,2.46,0,0,0.82,1.64,0,0,0,0
 36-46,0,0.81,0.81,0,0,0.81,0,0,0.81,0,0,0.81,0,0.81,0,0,0,2.42,0,0,0,0,0,0,0,0
 48-58,0,0.57,1.15,0.57,0,0,0.57,0,0,0,0,0,0,1.15,0,0,0,2.3,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0.98,0,0,0,3.93,0,0,0.98,0,0,0,0,0.98
 72-82,0,0,1.96,0.98,0,0,0.98,0,0,0.98,0,1.96,0,2.94,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0
 84-94,0,5.31,2.12,0,0,0,0,0,0,0,0,1.06,0,1.06,0,0,1.06,7.43,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,0,0,0,0,1.09,0,0,0,10.93,0,1.09,0,0,1.09,0,0,0
108-118,0,2.3,0,0,0,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0,5.36,0,0,0,0,0,0,0.77,0
120,0,1.96,0,0,0,0,0,1.96,0,0,0,3.92,0,1.96,0,0,1.96,5.88,0,0,0,0,0,0,0,0
