stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord
  3-4,830.21,13046.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500.76,0,0,0,0,0,0
  5-6,380.04,4584.97,6.13,0,0,0,0,0,24.52,0,0,0,0,0,0,0,104.2,0,0,0,49.04,73.56,0,0,0,0,0,0
  7-9,55.2,34.17,81.49,0,0,110.41,0,0,47.32,0,0,0,0,0,0,0,1148.75,52.57,0,0,402.19,5.26,13.14,0,0,0,0,0
 10-12,0,22.03,37.76,0,6.29,44.06,0,0,6.29,0,0,0,0,0,0,0,390.22,22.03,0,0,144.76,0,15.73,0,18.88,0,3.15,0
 14-21,0,0,5,38,8,6,0,2,0,1,0,1,0,7,0,8,96,4,1,2,3,3,4,29,1,3,25,39
 24-34,0,0,0,0.82,0,0.82,0,0.82,0,0,0,0,0.82,4.1,0,0,10.67,0.82,0,0,0,1.64,0.82,0,0,0,0.82,0.82
 36-46,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0,0,0.81,0.81,0,5.64,0,0.81,0,0,0,0,0,0.81,0,0,1.61
 48-58,0,0,0,0,0,0.57,1.72,0,0,0,0,0,0,0.57,0,0,1.15,0,0,0.57,0,0,0,0,0,0,0,2.3
 60-70,0,0,0,0,0,1.96,0.98,0,0,0,0,0,0,0,0,0,6.87,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0.98,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0
