stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,ionocyte,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,26.36,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,13.14,21.03,0,5.26,0,0,36.8,0,0,21.03,0,0,0,0,0,268.13,34.17,0,0,115.66,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,0,22.03,0,0,0,0,0,0,0,0,232.88,12.59,0,0,84.97,0,12.59,3.15,0,0
 14-21,0,0,0,0,6,1,1,2,0,0,2,0,0,1,5,27,0,0,2,3,6,1,8,13,0
 24-34,0,0,0.82,0.82,0.82,0,0,0.82,0,0,0,0,0,1.64,0.82,9.03,0,3.28,0,0,0,0.82,0.82,2.46,1.64
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0,0,0.81,0,1.61,0,1.61,0,0,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,2.87,0.57,0,0,0,0,0.57,0,0.57,1.72,0,2.3,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,0.98,0.98,0.98,0,0,0.98,0,0.98,0.98,3.93,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,2.12,0,0,0,1.06,0,2.12,0,0,1.06,0,0,0,3.19,0,2.12,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,1.53,0,0,0,0.77,0,0.77,0.77,0,2.3,0,1.53,0,0.77,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0
