stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow.muscle,spinal.cord,taste,vasculature,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,11.49,0,0,0,0,0,0.82,0,0,27.09,5.75,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,3.22,0,0,0.81,0,0,0.81,0,0,14.5,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0.57,0,5.16,0,0,0,0.57,0,0,0,0,9.18,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,8.83,0,0,0.98,0.98,0,1.96,0,0,21.59,0,1.96,0,0,0
 72-82,0,0,0,2.94,2.94,0,0,0,0.98,0,0,26.5,0,0,1.96,3.93,0,1.96,0,0,40.25,0,0,0,0,2.94
 84-94,0,0,1.06,4.25,0,0,0,0,0,1.06,0,21.24,0,0,0,1.06,0,0,0,1.06,67.97,0,0,0,0,0
 96-106,0,0,1.09,19.67,1.09,0,0,1.09,1.09,1.09,0,69.94,1.09,1.09,1.09,2.19,0,6.56,1.09,1.09,137.7,1.09,0,1.09,1.09,0
108-118,0,0,0.77,21.45,1.53,0.77,0,0,0,0,0,47.49,0,1.53,1.53,3.06,1.53,1.53,0,0,65.11,0,0,0,0,0
120,0,0,1.96,11.76,0,0,1.96,0,0,0,0,37.24,0,3.92,3.92,1.96,1.96,0,1.96,0,111.71,0,0,0,0,0
