stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord
  7-9,5.26,0,5.26,0,0,0,0,0,2.63,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0
 14-21,0,0,1,2,0,0,9,0,0,0,2
 24-34,0,0.82,0,0.82,0,1.64,24.63,0,0,0,4.1
 36-46,0,0,0,0.81,0,0.81,49.95,0,0,0.81,2.42
 48-58,0,0,0.57,2.3,0,0,11.48,0.57,0,0,2.3
 60-70,0,0,0,5.89,0,0.98,9.82,0,0,0,0
 72-82,0,0,1.96,1.96,0,2.94,7.85,0,0,0,0
 84-94,0,0,0,3.19,0,2.12,3.19,0,0,0,1.06
 96-106,0,0,0,0,0,2.19,2.19,1.09,0,1.09,0
108-118,0,0,2.3,0,0,0,3.06,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0
