stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,3.15,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,8,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,6,0,0,0,0,0,1,2,0,3,0,0,0,0,0,0
 24-34,0,0,0,0,8.21,0,0,3.28,0,0,0.82,0.82,0,0.82,0,0.82,0,0,0,0,0,4.93,0,0,2.46,16.42,0,0.82,0.82,0,0,7.39,0,0.82,0.82,4.93,0,0,0.82,0,0.82
 36-46,0,0,0,0,3.22,0,0,0.81,0.81,0.81,1.61,0.81,0.81,0,0,0,0.81,0,0.81,0,0,7.25,0,0,2.42,12.09,0.81,0,1.61,0,0,7.25,0,0,0,1.61,0,0,1.61,0,0
 48-58,0,0,0,0,2.3,0,0,4.02,0.57,0.57,0.57,1.15,0,0,0,0,0,0,0,0,0,13.2,0.57,0,2.87,17.79,0,1.72,0,0,0,3.44,0,0,0,2.87,0,0,1.72,0,0.57
 60-70,0,0,0,0,4.91,0,0,9.82,0,0.98,0.98,8.83,0.98,0,0.98,0,0,0.98,0.98,0,0,15.7,0,3.93,1.96,8.83,0,1.96,0.98,0,0,2.94,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,0,7.85,0.98,0,0,5.89,0.98,0,0.98,0.98,2.94,0,1.96,0,0.98,32.39,0,0.98,1.96,19.63,0,1.96,2.94,0,0,5.89,0,0.98,0,1.96,0,0.98,8.83,1.96,1.96
 84-94,0,0,1.06,0,4.25,1.06,0,9.56,0,4.25,1.06,3.19,3.19,0,1.06,1.06,3.19,1.06,4.25,0,1.06,13.81,0,1.06,2.12,7.43,0,0,2.12,0,0,6.37,0,2.12,0,2.12,1.06,0,2.12,1.06,1.06
 96-106,0,0,0,0,3.28,0,1.09,7.65,0,1.09,1.09,6.56,4.37,0,0,2.19,1.09,0,4.37,2.19,0,14.21,0,2.19,1.09,9.84,0,2.19,1.09,0,1.09,3.28,0,0,0,3.28,0,0,3.28,3.28,1.09
108-118,0,0,0,0,6.13,0,1.53,5.36,0.77,1.53,0,5.36,6.89,0,0.77,0.77,0,1.53,0,2.3,0.77,16.09,0,0.77,2.3,9.96,0,1.53,0,0,0,3.83,0,0,0,0.77,1.53,0,0.77,0,3.06
120,0,0,0,0,5.88,0,0,0,0,0,0,5.88,5.88,0,0,0,0,0,1.96,0,1.96,9.8,0,0,0,11.76,0,0,0,0,1.96,3.92,0,1.96,0,0,0,0,1.96,0,0
