stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0.82,0,0,0,0,1.64,0,0,0,0.82,0,0,0.82,11.49,0,0,0,0,0,0,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,2.42,0,0,0,0.81,0.81,0,0,0,0,0,1.61,0,12.09,0,0,0,0,2.42,0,1.61,0,0,0.81,0,0
 48-58,0,0.57,0,0,0,5.16,0,0,0.57,0,0,0,0,0,1.72,0,3.44,1.15,20.08,0,0,0,0,0,0,1.72,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,9.82,0,0,0.98,0.98,0,0.98,0,0,11.78,0,6.87,0,29.45,0,0,2.94,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,0,0,0,22.58,0,0,0.98,7.85,0,2.94,0,0,31.41,0,15.71,0.98,41.23,0,1.96,2.94,0,0.98,0,0.98,0,0,3.93,0.98,0
 84-94,0,0,2.12,3.19,0,13.81,1.06,0,2.12,5.31,0,1.06,0,1.06,71.16,1.06,7.43,0,12.74,0,0,0,0,2.12,0,0,1.06,0,1.06,2.12,1.06
 96-106,0,0,6.56,9.84,3.28,19.67,1.09,1.09,7.65,4.37,0,1.09,2.19,1.09,97.26,1.09,14.21,3.28,52.46,1.09,1.09,1.09,1.09,9.84,1.09,2.19,0,1.09,1.09,1.09,2.19
108-118,0,0,3.83,2.3,3.06,5.36,0.77,2.3,3.83,6.13,0,0,1.53,0,91.15,0.77,9.96,0.77,36,0.77,0,3.83,0,1.53,0,0,1.53,0,0.77,2.3,2.3
120,0,0,1.96,1.96,0,13.72,0,0,3.92,7.84,0,3.92,1.96,0,58.79,1.96,9.8,0,19.6,0,0,0,0,5.88,0,3.92,0,0,0,1.96,0
