stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,69.23,0,0,12.59,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,2,0,2,0,0,0,2,0,2,0,0,0,0,0,0,0,1,0,0,9,21,378,1,0,1,0,2,0,5,0,4,31,87,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,10.67,0,1.64,0,2.46,0,0,0.82,0,0,0,0,0,0,11.49,0,0,35.3,92.76,107.53,1.64,0,0,0,30.37,0,0,0,4.1,3.28,170.74,0,0,0,0,0
 36-46,0,0,0.81,3.22,0.81,0,20.14,0.81,7.25,0.81,4.03,0,0,0,0.81,0,0,0,0,0,49.15,0,0,63.65,124.88,70.09,0.81,0,0,0,24.98,0,0,0,0,0.81,121.66,0,0,2.42,0,0
 48-58,0.57,0,0.57,8.03,0,0,41.89,1.15,32.13,6.89,2.87,0,0,1.15,0.57,0,0,0,0,0,114.76,0,0,56.81,127.96,47.05,0,1.15,0,0,29.26,0,0,0,0.57,0,124.52,0,0,0,0,0.57
 60-70,0,0,0.98,15.7,0.98,0,125.63,0,70.67,4.91,7.85,0.98,0,0,0.98,0,0,0,0,0,242.44,0,3.93,25.52,155.08,35.33,0,7.85,0,0.98,42.21,0,0,1.96,0,0,77.54,0.98,1.96,0,3.93,1.96
 72-82,0,0,3.93,34.36,0,0,321,2.94,73.62,3.93,24.54,1.96,0,0,0.98,1.96,0,0,0.98,0,510.46,0,2.94,34.36,274.87,30.43,0,13.74,0,0.98,41.23,0,0.98,0,0,0,105.04,1.96,5.89,1.96,18.65,0.98
 84-94,1.06,0,5.31,44.61,1.06,0,251.7,0,161.43,4.25,31.86,4.25,0,0,0,4.25,0,0,0,0,394.02,1.06,10.62,22.3,140.19,38.23,3.19,7.43,0,1.06,123.2,1.06,0,0,0,0,86.03,5.31,7.43,0,16.99,0
 96-106,1.09,0,9.84,66.66,3.28,1.09,323.48,0,227.31,5.46,55.74,5.46,0,1.09,3.28,3.28,0,0,3.28,0,442.6,1.09,7.65,14.21,202.18,61.2,2.19,33.88,0,5.46,87.43,1.09,0,4.37,0,0,110.38,5.46,9.84,6.56,28.41,1.09
108-118,0.77,0,6.13,87.32,2.3,0.77,330.13,0,322.47,2.3,53.62,4.6,0,0,3.06,5.36,2.3,1.53,0.77,0.77,439.66,2.3,2.3,16.09,265.02,102.64,1.53,31.4,0,2.3,101.11,0,0,0,0,0,65.11,6.13,4.6,2.3,29.87,0.77
120,3.92,0,1.96,92.11,7.84,0,209.7,1.96,278.29,1.96,45.08,5.88,0,0,1.96,5.88,0,1.96,1.96,1.96,495.83,1.96,7.84,25.48,337.08,184.22,1.96,25.48,0,0,88.19,0,0,0,0,0,92.11,3.92,1.96,3.92,43.12,0
