stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,lateral_line,liver,neural,olfactory,paraxial_mesoderm,periderm,taste,visceral_smooth_muscle,xanthophores
  3-4,26.36,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,140.98,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,0,0,0,5.26,0,0,0,0,0,44.69,0,7.89,2.63,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,9.44,0,6.29,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,3.93,0,0,0,8.83,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,21.24,0,0,1.06,1.06,0,1.06,4.25,0,0
 96-106,0,0,0,3.28,0,0,0,63.39,1.09,0,2.19,2.19,0,1.09,2.19,1.09,1.09
108-118,0,0,0,8.43,2.3,0.77,0,55.92,0,0.77,4.6,1.53,0,0.77,2.3,0,0
120,0,0,0,7.84,0,0,1.96,23.52,1.96,0,3.92,3.92,0,0,0,0,0
