stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,49.04,324.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.23,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,15.73,0,0,0,12.59,0,0,0,0,0
 14-21,0,0,0,3,14,4,10,0,0,5,3,0,0,1,0,0,0,0,11,0,0,3,116,5,1,1,4,0,0,26,2,16,38,0,0,0
 24-34,0,0,0,0,0.82,1.64,17.24,0,0,1.64,0,0,0,0,0,0,0,0,11.49,0,0,4.1,149.4,0,0.82,0.82,0,0,1.64,0,0,1.64,33.66,0,0.82,0
 36-46,0,0,0,0,0,0,29,0,0,5.64,0,0,0,0,0,0,0,0,5.64,0,0.81,0,73.32,0,0,0.81,0,0,0,0,0,0,21.75,0,0.81,0
 48-58,0,0,0,0,1.15,0,42.46,0,0,12.62,0.57,0,0,0,0.57,0,0.57,0,17.21,0,0,2.3,72.3,0,1.15,0.57,0,0.57,0,0,0,0,17.21,0,0.57,0
 60-70,0,0,0,0,0,0,30.43,0,1.96,11.78,0,0,0,0,0.98,0,0,0,11.78,0,1.96,1.96,35.33,0,0,0,0,0,0.98,0,0,0,3.93,0.98,0.98,0
 72-82,0,0,0,0,1.96,0,23.56,0,0,11.78,0.98,0.98,0.98,0,0,0,0,0,17.67,0,0.98,3.93,43.19,0.98,0.98,1.96,0,0,0,0,0,0,1.96,0.98,0.98,0
 84-94,0,0,0,0,2.12,0,14.87,0,0,2.12,0,0,1.06,0,0,0,0,1.06,8.5,1.06,0,5.31,12.74,0,0,0,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,1.09,0,3.28,0,16.39,0,0,7.65,1.09,1.09,2.19,0,0,2.19,0,0,13.11,1.09,2.19,0,9.84,0,2.19,0,0,0,0,0,0,0,0,0,4.37,2.19
108-118,0,0,0,0,2.3,0,5.36,0,0,6.89,0,0,0,0,0,0,0,0,6.13,0,0,2.3,20.68,0,0,0,0,0,0,0,0,0,0.77,0,3.06,0
120,0,0,0,0,1.96,0,5.88,1.96,0,5.88,0,0,1.96,0,0,0,0,0,11.76,0,0,1.96,23.52,0,0,0,0,0,0,0,0,0,0,0,3.92,0
