stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,250.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,147.11,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,7.89,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.2,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,50.35,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,11,4,3,0,0,4,0,0,1,1,0,0,1,0,14,0,6,107,0,2,0,2,1,21,2,3,11,36,1,0,0
 24-34,0,0,0,0,2.46,0.82,18.88,0,0,1.64,1.64,0,0.82,0.82,0,0,0.82,0,11.49,0,4.93,106.71,0,0,0.82,0,4.1,0,0.82,0,1.64,35.3,2.46,0,0.82
 36-46,0,0,0,0,1.61,0,19.34,0,0,1.61,0,0,0,0,0,0.81,0,0,15.31,0,3.22,63.65,0,0,0.81,0,0,0,0,0,0,21.75,0,0,0
 48-58,0,0,0,0,0.57,0,10.9,0,1.15,4.02,0.57,0,0,0,0,0,0,0,12.62,1.15,0.57,27.54,0,0,1.15,0,1.72,0,0,0,0,10.33,1.15,0,0.57
 60-70,0,0,0,0,2.94,0,14.72,0,0,3.93,0,0,0,0,0,0.98,0.98,0,7.85,0.98,2.94,12.76,0,0,2.94,0,0,0,0.98,0,0,4.91,0.98,0,0
 72-82,0,0,0,0,0.98,0,0.98,0,0,4.91,0,0,0,0.98,0,0,0,0,8.83,0,0.98,9.82,0,0.98,0,0,1.96,0,0,0,0,0.98,2.94,1.96,0
 84-94,0,0,0,0,0,0,3.19,0,0,4.25,0,0,0,1.06,1.06,0,0,0,9.56,0,2.12,7.43,0,1.06,0,0,3.19,0,0,0,0,1.06,2.12,0,0
 96-106,0,0,1.09,0,1.09,0,6.56,0,0,6.56,1.09,0,0,0,1.09,1.09,0,0,7.65,1.09,3.28,2.19,0,1.09,1.09,0,2.19,0,0,0,0,1.09,2.19,0,1.09
108-118,0,0,0,0,0.77,0.77,5.36,0,0.77,3.06,1.53,0,0.77,0.77,0,0,0.77,0.77,6.13,0.77,0,7.66,0,0,1.53,0,1.53,0,0,0,0,0,3.06,0.77,0
120,0,0,0,0,0,0,1.96,1.96,0,5.88,0,0,0,0,0,0,1.96,0,1.96,0,0,9.8,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0
