stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,118,0,0,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,4.1,0,0,1.64,0,0,0,0,0,0.82,0,1.64,0,0,350.51,1.64,0.82,0,0,0,0.82,10.67,0,0,0,0
 36-46,0,0,0,0,0,0,7.25,0,0.81,14.5,0,0,0,0.81,0,0.81,0,4.83,0,0,771.83,0,0,1.61,0,0,0,33.03,0,0,0.81,0
 48-58,0,0,0,0,1.15,0,57.38,0,0,60.25,0,1.15,0,0,0,4.02,0,18.36,0,0,744.22,0,0,1.72,0,1.15,0,78.04,0,0,0,0
 60-70,0,0,0,0,3.93,0,235.57,0,1.96,76.56,0.98,0,0,0,0.98,6.87,0.98,20.61,0,0,790.13,0,0,5.89,0,0.98,0,125.63,0,0,0.98,0
 72-82,0,0,0.98,0,3.93,0.98,164.92,0,0,64.79,1.96,0.98,0,0,0.98,13.74,0,20.61,0.98,1.96,563.47,0,0,6.87,0,0,0,43.19,1.96,0.98,2.94,0.98
 84-94,0,0,0,0,6.37,0,140.19,0,1.06,40.36,2.12,1.06,0,0,0,9.56,0,10.62,1.06,1.06,287.81,0,0,4.25,0,0,0,36.11,1.06,0,1.06,2.12
 96-106,0,0,0,0,4.37,0,59.01,0,0,26.23,1.09,0,1.09,0,0,13.11,0,26.23,0,1.09,180.32,0,0,8.74,0,1.09,0,4.37,1.09,1.09,5.46,0
108-118,0,0,0.77,0,3.06,0.77,41.36,0.77,1.53,18.38,1.53,0,0,0,0,5.36,0.77,13.79,0,0,176.17,0,0,3.83,0,0.77,0,7.66,1.53,0,3.83,0.77
120,1.96,0,0,0,1.96,0,35.28,0,0,29.4,5.88,0,0,0,0,3.92,0,11.76,0,1.96,164.62,0,0,0,0,0,0,1.96,1.96,0,1.96,0
