stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,1199.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0
  5-6,18.39,190.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.86,5.26,0,0,10.51,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,15.73,0,3.15,0,28.32,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,390.22,15.73,0,0,75.53,0,3.15,0,9.44,0,6.29,0,0,0,0,0
 14-21,0,0,1,4,25,5,0,19,0,0,0,2,0,0,2,0,0,1,0,1,1,17,0,0,8,376,4,3,5,3,0,12,12,2,6,113,0,0,0,0,0
 24-34,0,0,1.64,1.64,18.06,2.46,0,73.88,0,0.82,0.82,12.31,0.82,0,0,0.82,0.82,0,3.28,0.82,0,36.94,1.64,0,19.7,586.09,0.82,7.39,10.67,0,0,12.31,0,4.1,1.64,139.55,0,0,9.03,0,0
 36-46,0,0,0,0,8.06,0,0,92.65,0,1.61,1.61,12.89,0.81,0,0,2.42,1.61,0,0.81,0,0,45.12,0.81,0,13.7,435.87,0.81,4.83,4.03,0,0,10.47,0,0.81,0,111.18,0,0,0,0,0.81
 48-58,0.57,0,0,0,5.16,0.57,0,156.07,0,0.57,1.15,36.15,1.15,0.57,0,0,0,1.15,0.57,2.3,0,67.14,1.15,2.3,8.03,243.29,0.57,2.87,2.87,0,0.57,5.74,0,0,0,62.54,0,1.15,4.59,0,2.3
 60-70,0,0,0.98,0,6.87,0,0,152.14,0.98,0,1.96,55.95,0,0.98,1.96,1.96,2.94,0,0.98,1.96,0.98,71.65,0,4.91,7.85,198.27,0.98,0.98,3.93,0,0.98,1.96,0,0,0,33.37,0,0.98,5.89,0.98,0.98
 72-82,0,0,3.93,0,6.87,2.94,0,150.19,0.98,0,1.96,49.08,6.87,0.98,1.96,0,5.89,0.98,2.94,2.94,0,132.52,0.98,3.93,8.83,167.86,0,4.91,8.83,0,0.98,2.94,0,0.98,0,14.72,5.89,3.93,6.87,3.93,1.96
 84-94,1.06,0,3.19,0,10.62,2.12,0,98.77,0,3.19,4.25,39.3,11.68,0,0,6.37,8.5,2.12,0,4.25,0,80.71,1.06,3.19,13.81,109.39,1.06,9.56,9.56,0,1.06,16.99,0,1.06,0,11.68,1.06,4.25,12.74,3.19,1.06
 96-106,0,0,0,1.09,16.39,2.19,0,68.85,2.19,1.09,5.46,36.06,7.65,0,2.19,7.65,4.37,1.09,1.09,1.09,1.09,75.41,2.19,1.09,13.11,91.8,0,17.49,13.11,0,0,4.37,0,1.09,0,6.56,4.37,1.09,12.02,5.46,2.19
108-118,0,0,2.3,0,10.72,6.89,0.77,56.68,0,1.53,2.3,31.4,6.13,0,0,6.13,5.36,1.53,0.77,3.83,0.77,49.02,1.53,0.77,9.19,130.21,0.77,5.36,6.89,0,0.77,8.43,0,0,0,3.06,2.3,2.3,9.19,1.53,1.53
120,0,0,0,0,13.72,1.96,0,43.12,1.96,5.88,1.96,15.68,3.92,0,0,3.92,1.96,0,1.96,3.92,0,39.2,0,1.96,5.88,105.83,3.92,3.92,9.8,0,0,7.84,0,1.96,0,3.92,0,3.92,11.76,1.96,1.96
