stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,0,0,0,15.73,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,1,1,0,0,3,1,0,0,0,4,0,2,23,1,0,0,1,0,1,1,0,1,9,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,6.57,0,0.82,15.6,0,0,0,0,0.82,0,0,0,0,8.21,0,0,0
 36-46,0,0.81,0,2.42,0,0,1.61,0,0,0,0,5.64,0,0,20.95,0,0,0,0,0.81,0,0,0,0,8.06,0,0,0
 48-58,0,0,0,5.74,0,1.15,0.57,0,1.15,0,0,2.87,0.57,0.57,8.61,0,0,0,0,0.57,0,0,0.57,0,5.74,0,0.57,0
 60-70,0,0,0,37.3,0.98,0,0.98,0,0,0,0,0.98,0,0.98,28.46,0,0.98,0,0,0,0,0,0.98,0,12.76,0,0,0
 72-82,0,0.98,0,54.97,0,0,0,0,0,0,0,9.82,0,1.96,28.47,0,0,0,0,0.98,0,0,0,0,3.93,0.98,0,0
 84-94,0,0,1.06,32.92,0,0,1.06,0,0,0,1.06,6.37,0,2.12,19.12,0,0,1.06,0,1.06,0,0,0,0,1.06,0,0,0
 96-106,0,1.09,1.09,42.62,0,0,3.28,1.09,0,1.09,0,3.28,1.09,0,21.86,0,0,0,0,0,0,0,0,0,1.09,0,2.19,0
108-118,0,3.06,0,34.47,0,0,2.3,0.77,0,0.77,0,2.3,0,2.3,13.79,0,0,0,0,0.77,0,0,0.77,0,0,0,0,3.06
120,0,1.96,0,39.2,0,1.96,1.96,0,0,0,0,0,0,0,17.64,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
