stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,329.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,220.67,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,5.26,0,0,0,2.63,0,0,0,0,42.06,2.63,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,3.15,3.15,0,0,0,3.15,0,0,0,0,78.67,0,0,28.32,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,0,2,0,0,1,0,0,0,0,0,5,0,0,0,0,3,0,3,0,0,0,0,0
 24-34,0,0,0,0.82,0,0.82,0,0,0.82,0,0.82,0,0,0.82,16.42,0,0,0,0.82,0,0,0.82,5.75,0,0.82,0,0
 36-46,0,0,0,0,0,3.22,0,0,0.81,0,3.22,0,0,0,9.67,0,0,0,0.81,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,0,3.44,0.57,0,1.15,0,2.3,0,0,0,14.92,0,0,0,0,0,0,0,3.44,0,1.15,0,0.57
 60-70,0,0,0,0.98,0,1.96,0,0,1.96,0,2.94,0,0,0.98,5.89,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,4.91,0,0,2.94,0,2.94,0,0,0,4.91,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,0,0,1.06,1.06,0,1.06,4.25,0,0,0,0,0,0,0,1.06,0,1.06,1.06,0
 96-106,0,0,0,0,0,1.09,0,0,3.28,0,2.19,0,0,1.09,3.28,0,1.09,0,1.09,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0.77,0,0.77,0,0,0.77,0,1.53,0,5.36,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0,7.84,0,0,0,0,0,0,0,0,0,0,0,0
