stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,6.13,422.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,31,0,1,0,0,0,0,0,1,11,0,0,1,0,0
 24-34,0,0,0.82,0,2.46,0,9.03,0,4.1,0,2.46,0,0,0.82,0,0,0,0,0,0,12.31,0,0,2.46,82.09,0,0.82,0.82,0,0,0,0,0,36.12,0,0,13.13,0,0
 36-46,0,0,0,0,0.81,0,9.67,0.81,0.81,0,3.22,0,0,0,0,0,1.61,0.81,0,0,17.72,0,0.81,8.06,116.02,0,2.42,0,0,0,0,0,0,45.12,0,0,9.67,0,0
 48-58,0,0,0,0,0.57,0,21.8,0,0,0.57,6.89,0,0,0,0,0,0,0,0,1.15,40.74,0,0.57,5.16,142.88,0,0.57,1.72,0,0.57,0,0,0,32.71,0,0,4.59,0,0.57
 60-70,0,0,0.98,0,1.96,0,83.43,0,0.98,2.94,15.7,0,0,0,0,0,0,1.96,0,0,72.63,0,0,5.89,238.51,0,1.96,1.96,0,0,0.98,0,0,26.5,0,0,5.89,0,0.98
 72-82,0,0,0.98,0,1.96,0,74.61,0,0.98,9.82,22.58,0.98,0,0,0,0,0,2.94,0,0,98.17,0,3.93,12.76,237.56,0,3.93,2.94,0,0,0,0,0,15.71,0.98,2.94,9.82,2.94,0
 84-94,0,0,0,0,7.43,1.06,48.85,3.19,1.06,1.06,15.93,2.12,0,0,2.12,1.06,2.12,1.06,0,1.06,56.29,0,6.37,5.31,127.44,1.06,0,6.37,0,0,0,0,0,11.68,1.06,1.06,8.5,1.06,0
 96-106,0,0,0,0,6.56,1.09,39.34,3.28,1.09,1.09,13.11,2.19,0,0,0,0,1.09,3.28,1.09,0,44.81,0,3.28,5.46,109.28,0,0,4.37,0,0,0,0,0,3.28,0,3.28,9.84,4.37,0
108-118,0,0,1.53,0,3.83,0,29.87,2.3,1.53,1.53,12.26,0,0,0,0,0.77,3.06,1.53,0,0,55.15,0,3.06,4.6,103.41,0.77,0,3.06,0,0,0,0.77,0,3.06,0,1.53,11.49,0.77,0.77
120,0,0,0,0,9.8,0,19.6,1.96,0,3.92,13.72,0,0,0,1.96,0,0,0,1.96,0,31.36,1.96,1.96,1.96,105.83,0,0,1.96,0,0,0,0,0,5.88,0,0,3.92,1.96,0
