stage,epidermis,erythrocytes,eye,glial,hatching_gland,melanocytes,mesenchyme,muscle,neural,periderm,presomitic_mesoderm,pronephros,spinal_cord,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,1.64,0,0,0.82,0,0,0.82,0,7.39,0.82,0,0,3.28,0,0
 36-46,0,0,2.42,0,0,0.81,0.81,0.81,12.09,0.81,0,0.81,1.61,0,0
 48-58,0,0,2.3,2.3,0.57,0,0.57,0,6.89,0,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,0,0,9.82,0,0,0,2.94,0,0
 72-82,0.98,0,1.96,2.94,0,0,0,0,3.93,0,0,0.98,0,0,0
 84-94,1.06,0,1.06,0,0,0,1.06,0,2.12,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,2.19,0,2.19,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,1.53,0,3.06,0,0,0,0,0.77,0
120,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96
