stage,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,mesenchyme,muscle,neural,otic,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0,0,1,0,2,0,0,2
 24-34,0,0,0,0,0,0,0,0,0,0,6.57,0,0,1.64
 36-46,0,2.42,0,0,0,0,0,0,1.61,0,13.7,0,0.81,2.42
 48-58,0,1.15,0,0,0.57,0,0,0,2.3,0,13.2,0,0,4.59
 60-70,0,1.96,0,0,2.94,0,0,0,0,0,13.74,0,0,0.98
 72-82,0,0.98,0,0,2.94,0,0.98,0,1.96,1.96,7.85,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,3.19,0,2.12,1.06,0,0
 96-106,0,2.19,0,1.09,0,0,0,0,1.09,0,2.19,0,0,0
108-118,0.77,0,0.77,0,0,0,0,0,1.53,0,0.77,0,1.53,0
120,1.96,1.96,0,0,0,1.96,0,1.96,0,0,1.96,0,1.96,0
