stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,11,1,0,0,0,1,3,4,17,0,0,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,0,0,0,3.28,0,0,0.82,27.91,0,0,0,0,22.98,0,0,14.78,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,0,0,0,0,0,0.81,0,0,0.81,20.14,0,0,0,0,16.92,0,0,5.64,0,0.81,0
 48-58,0,0,0,0.57,4.02,0,0.57,0,0,0.57,0,0,1.72,0,0,1.72,25.82,0,0,0,0,15.49,0,0,1.15,0,0.57,1.72
 60-70,0,0,0,0,10.8,1.96,3.93,0,0,0,0,0,3.93,0,0,0,33.37,0,0,0,0,0,0,0,0.98,0,0,0.98
 72-82,0,0,0,0.98,16.69,0,3.93,0,0.98,0,0.98,0.98,3.93,0,0.98,0,57.92,0,0.98,0,0,0,0,0,0.98,0,0.98,5.89
 84-94,0,0,0,0,25.49,0,1.06,0,0,0,0,0,1.06,0,0,0,25.49,0,0,0,0,1.06,0,0,1.06,1.06,0,2.12
 96-106,0,0,0,1.09,16.39,0,4.37,0,1.09,0,0,0,0,0,1.09,0,46.99,0,0,0,1.09,1.09,0,0,1.09,0,0,1.09
108-118,0,0,0,0,26.81,0.77,3.06,0,0.77,0,0,0,2.3,0,0,0,31.4,0,0,0,0,0.77,0,0,0.77,0,0,1.53
120,0,0,0,1.96,19.6,1.96,3.92,1.96,0,0,0,0,5.88,1.96,0,0,78.39,0,0,0,0,1.96,0,0,5.88,0,1.96,0
