stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,3,1,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,14,0,0,0,0,1,2,0,0,5,14,0,0,0,0,0
 24-34,0,0,0,2.46,0.82,9.85,0,0.82,0,3.28,0,0.82,0,0.82,0,0,0,7.39,0,2.46,46.79,0.82,0,0.82,0,0.82,0,0,0,0.82,11.49,0,0,2.46,0,0
 36-46,0,0,0,2.42,0,11.28,0,0,0.81,0.81,0,0,0,0.81,0,0,1.61,4.03,0,0,50.76,0,1.61,0,0,0,0,0,0,0,12.89,0,0,0,0,1.61
 48-58,0,0.57,0,0,0,15.49,0.57,0.57,0,5.74,0,0,0,0,0,0,0.57,4.59,0,0,55.09,0,0,0,0,1.15,0,0,0.57,0,9.18,0,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,23.56,0.98,0.98,0,1.96,0,0,0,0,0,0,0,10.8,0.98,0.98,51.04,0.98,0.98,0,0,3.93,0,0,0,0,9.82,0,0.98,0,0,0
 72-82,0,0,0,0.98,0.98,27.49,0.98,0.98,0,7.85,0,1.96,0,0.98,0,0.98,0,16.69,0,3.93,58.9,0,0,0,0,3.93,0,0,0,0,8.83,0,0.98,0.98,0,0
 84-94,0,0,0,2.12,1.06,18.05,0,0,1.06,6.37,2.12,0,2.12,0,0,0,0,6.37,2.12,2.12,27.61,0,0,0,0,5.31,0,0,0,0,2.12,0,1.06,2.12,1.06,0
 96-106,0,2.19,0,2.19,2.19,16.39,0,2.19,0,4.37,0,0,1.09,2.19,1.09,0,1.09,9.84,0,0,26.23,0,1.09,0,0,6.56,0,0,0,0,3.28,1.09,0,0,0,1.09
108-118,0,0,0,4.6,0,11.49,0,1.53,0.77,4.6,0,0,0.77,0.77,1.53,0,0.77,10.72,0,0.77,26.04,0,0,0.77,0,4.6,0,0.77,0,0,2.3,0,0,0.77,0,0
120,0,0,0,1.96,1.96,11.76,0,0,1.96,3.92,0,0,1.96,0,0,0,0,1.96,0,0,41.16,0,0,0,0,3.92,0,0,0,0,0,0,0,1.96,0,0
