stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,5,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,76,10,0,1,3,0,3,0,5,0,0,2,34,0,0,2,0,0
 24-34,0,0,0,4.1,0,0,34.48,0.82,2.46,0.82,0,0,0.82,0,0.82,0,0.82,0,0.82,21.34,0,0,15.6,112.46,4.93,0,0.82,0,0,6.57,0.82,0,0,0,1.64,27.09,0,0,9.03,0,1.64
 36-46,0,0,0,3.22,0,0,25.78,0,0,1.61,0,0,2.42,0,1.61,0,0,1.61,0,13.7,0.81,1.61,4.03,43.51,1.61,0.81,0,0,0,7.25,0,0,0.81,0,0,4.03,0,0,5.64,0,0
 48-58,0,0,0,2.3,0,0,16.07,0.57,2.3,2.87,1.15,0.57,0.57,1.15,0.57,0,0,1.72,0,22.95,0,0,5.74,24.1,2.87,0.57,1.72,0,0.57,1.72,0,0,0.57,0,0,4.59,0,0,4.59,0,0.57
 60-70,0,0,0,4.91,0,0,20.61,0,2.94,18.65,6.87,0,0,0.98,0,0,0,3.93,0,25.52,0.98,0,2.94,24.54,0.98,0.98,0,0,0.98,2.94,0,0,3.93,0,0,2.94,0,0.98,3.93,0.98,0
 72-82,0,0,0,6.87,0.98,0,23.56,0.98,4.91,33.38,10.8,0,0,0.98,0,0,0.98,7.85,0,67.73,0.98,5.89,8.83,37.3,3.93,0,0.98,0,0,4.91,0,0,2.94,0,0,2.94,0,0.98,14.72,0,2.94
 84-94,0,0,0,10.62,0,1.06,40.36,3.19,1.06,40.36,27.61,0,0,2.12,2.12,2.12,1.06,27.61,0,60.54,1.06,1.06,5.31,36.11,3.19,2.12,6.37,0,0,12.74,0,0,1.06,1.06,0,1.06,0,0,7.43,2.12,0
 96-106,0,0,0,4.37,0,0,28.41,1.09,0,28.41,28.41,0,1.09,2.19,3.28,1.09,1.09,32.79,0,39.34,0,1.09,4.37,24.04,2.19,1.09,5.46,0,3.28,7.65,1.09,0,2.19,0,0,3.28,0,2.19,7.65,2.19,0
108-118,0,0,0.77,17.62,0.77,0,28.34,1.53,0.77,40.6,16.09,0,1.53,0.77,0,4.6,0.77,60.51,0,39.06,0,1.53,6.13,51.32,7.66,0,3.83,0,0.77,5.36,0,0,0.77,0,0,1.53,1.53,0.77,7.66,0.77,0.77
120,0,0,0,3.92,0,0,11.76,0,0,23.52,17.64,0,0,5.88,0,0,3.92,17.64,0,33.32,0,0,7.84,41.16,5.88,1.96,1.96,0,1.96,1.96,0,0,0,0,0,1.96,0,3.92,9.8,1.96,0
