stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,hatching.gland,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,7,2,1,2,1,4,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,0,0,0,11.49,0.82,0,0,0,0,0.82,0,0.82
 36-46,0,0,0,0,1.61,0,0,0,0.81,0.81,12.09,1.61,0,0,0,2.42,0.81,0,0
 48-58,0,0,0,0,4.59,0.57,0,0,1.72,0,5.16,4.02,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,2.94,0,0,0,0,1.96,6.87,0,0,0,0.98,0,0,0
 72-82,0,0,0,2.94,1.96,0.98,0,0,3.93,0,1.96,7.85,0,0,0,0.98,0,0,0
 84-94,0,0,1.06,3.19,1.06,3.19,0,0,3.19,0,3.19,14.87,0,0,0,0,0,0,0
 96-106,0,0,0,9.84,2.19,1.09,0,0,1.09,0,1.09,12.02,0,0,0,0,0,0,1.09
108-118,0,0,0,1.53,2.3,0.77,0,0,1.53,0,0.77,21.45,0,0,0,0,0,0.77,0
120,0,0,0,0,1.96,0,1.96,0,5.88,0,3.92,11.76,0,0,0,0,0,0,1.96
