stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,17,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,1,0,0,3,10,1,0,0,0,0,3,3,4,0,5,5,1,0,0,0,0,0
 24-34,0,0,0,37.76,0,0,0,40.22,0,0.82,1.64,0,0,0.82,0,0,0,1.64,0,0,5.75,0.82,0,6.57,28.73,0,0.82,0,0,0,6.57,1.64,0,0.82,20.52,5.75,1.64,0,0,3.28,0,0
 36-46,0,0,0,13.7,0,0,6.45,119.24,0.81,6.45,2.42,0,0,0.81,0,0,0.81,1.61,0,0,8.06,0,0.81,7.25,24.17,0,2.42,0,0,0.81,5.64,1.61,0,0,24.98,1.61,8.06,0,0,0,0,1.61
 48-58,0,0,0,13.2,0.57,0,17.21,114.19,1.15,8.61,2.87,0,0,0,0,0.57,0.57,1.15,0,0.57,13.77,1.15,0,4.59,34.43,0.57,3.44,0,0,0,2.3,0,0,0,18.94,0,6.89,0,0,0,0,2.3
 60-70,0,0,0.98,17.67,0.98,0,12.76,122.69,0.98,7.85,6.87,0.98,0.98,0,0.98,0.98,0.98,0,0.98,0,9.82,0,0,5.89,32.39,0,0.98,1.96,0,0,5.89,0,0,0,14.72,0,2.94,0,0,0,0,2.94
 72-82,0,0,0,28.47,4.91,0,14.72,86.39,0,8.83,5.89,0.98,0.98,0,1.96,1.96,0,0,1.96,0,20.61,0.98,0,7.85,39.27,0,0.98,1.96,0,0,1.96,0.98,0,0,9.82,0,1.96,0,0,1.96,0,1.96
 84-94,0,0,1.06,59.47,2.12,0,11.68,180.55,5.31,4.25,4.25,1.06,0,0,0,5.31,0,0,1.06,0,15.93,0,1.06,10.62,22.3,0,2.12,1.06,0,1.06,16.99,0,0,0,21.24,0,3.19,0,2.12,2.12,1.06,1.06
 96-106,0,0,1.09,75.41,7.65,4.37,21.86,274.3,3.28,1.09,5.46,3.28,0,0,1.09,3.28,1.09,4.37,3.28,0,20.76,0,0,9.84,34.97,0,4.37,1.09,0,0,14.21,0,0,0,16.39,0,1.09,2.19,0,1.09,0,4.37
108-118,0,0,0,75.06,1.53,4.6,14.55,225.19,9.19,3.06,6.13,3.83,0,0.77,3.06,2.3,1.53,0,1.53,2.3,19.15,3.06,0,12.26,34.47,0,4.6,1.53,0,0,13.79,0,0,0.77,21.45,0,1.53,0,1.53,5.36,1.53,1.53
120,0,0,0,41.16,0,0,15.68,109.75,5.88,0,5.88,3.92,0,0,0,1.96,0,0,0,0,7.84,3.92,1.96,7.84,29.4,1.96,1.96,0,0,0,5.88,0,0,0,3.92,0,0,0,0,5.88,0,0
