stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,0,5.26,0,0,0,2.63,0,0,0,18.4,0,5.26,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,0,1,11,0,0,0,0,0,2,0,0,0
 24-34,0,0,0,0.82,3.28,0.82,0,0,0,3.28,0,0.82,15.6,0.82,0,0,0.82,0,1.64,0,0,0
 36-46,0,0,0,0,1.61,0,0.81,0,0,0.81,0,0,14.5,0,0,0,0.81,0,4.03,0,0.81,0
 48-58,0,0,1.15,0,2.87,0,1.15,0,0,1.15,0,1.72,5.74,0,0,0,0,0,1.72,0,0,0
 60-70,0,0,0.98,0,4.91,0,2.94,0,0,0.98,0,0,5.89,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.96,1.96,0,0.98,0,0,0.98,0,0.98,7.85,0.98,0,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,1.06,0,1.06,0,0,5.31,0,1.06,1.06,1.06,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,0,0,0,1.09,1.09,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,1.53,0,0,2.3,0,0,0,0.77,0,0,0.77,0,0.77
120,0,0,1.96,0,1.96,0,1.96,0,0,3.92,0,0,7.84,0,0,0,0,0,0,0,0,0
