stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,128.72,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,28.32,0,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,3,11,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,0,6,9,3,0,0,1,0,0,0,3,0,0,9,0,0,0,0,0
 24-34,0,0,0,3.28,0.82,0,0,0,0,0,0,3.28,0,0,0.82,0,0.82,0,0,5.75,0,0,0.82,103.43,0,0,3.28,0,0,0,0,0,0.82,0,50.07,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,8.06,0,0.81,0,0.81,0,0,0,0,0,0,0,4.83,0,0,0,283.6,0,0.81,0.81,0,0,0.81,0,0,0,0.81,57.2,0,0,0.81,0,0
 48-58,0,0,0,0.57,1.15,0,0,51.07,0,0,8.03,0.57,0,0,0.57,0,0,0,1.15,6.89,0.57,0,0.57,509.54,0,1.15,1.15,0,0,1.15,0,0,0,0,69.43,0,0.57,1.15,0,0
 60-70,0,0,0.98,0,1.96,0.98,0,195.32,0,0.98,33.37,0.98,0,2.94,0,0,0,0.98,0,12.76,0,0,0,1108.14,0,0.98,0.98,0,0,2.94,0,0,0,0.98,128.58,0,0,0,0,0
 72-82,0,0,3.93,0,3.93,0,0,340.64,0.98,0,45.16,0.98,0,0,0,2.94,0,1.96,0,26.5,0,0,3.93,1135.78,0,0.98,3.93,0,0.98,0.98,0,0,0.98,0.98,80.5,0,0,0.98,1.96,2.94
 84-94,0,0,2.12,0,5.31,3.19,0,231.52,0,2.12,33.99,4.25,0,0,0,2.12,0,0,0,22.3,0,2.12,2.12,589.43,0,1.06,4.25,0,0,3.19,0,0,0,1.06,44.61,0,0,3.19,1.06,2.12
 96-106,0,0,1.09,0,8.74,3.28,1.09,245.89,0,1.09,29.51,1.09,0,0,0,3.28,3.28,3.28,1.09,18.58,1.09,3.28,3.28,511.45,1.09,1.09,14.21,0,0,2.19,0,0,0,1.09,25.14,1.09,2.19,3.28,0,0
108-118,0,0,4.6,0,7.66,1.53,0,174.64,0,0,25.28,0,0,0.77,0.77,3.06,0.77,0.77,1.53,14.55,0,1.53,1.53,535.41,0.77,1.53,16.09,0,0,3.06,0,0,0,0,14.55,0.77,0,1.53,0,0
120,0,0,7.84,0,13.72,1.96,1.96,186.18,0,1.96,39.2,0,0,0,0,1.96,1.96,0,0,11.76,0,0,7.84,715.32,0,0,21.56,0,0,0,0,0,0,0,21.56,0,0,0,0,0
