stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,taste,vascular.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0.82,0,0,0.82,0,0,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.57,0,0,0.57,0,0,11.48,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,4.91,9.82,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,7.85,0,2.94,0,4.91,0,50.06,11.78,0,0.98,0,1.96,0,0,9.82,0,0,0,0,0.98,0,0,0
 84-94,0,5.31,0,1.06,1.06,3.19,0,89.21,20.18,0,0,0,1.06,0,1.06,3.19,0,0,0,2.12,1.06,0,0,0
 96-106,0,10.93,3.28,3.28,0,2.19,1.09,268.84,31.69,1.09,1.09,0,3.28,1.09,0,31.69,0,0,0,3.28,1.09,0,0,0
108-118,0,4.6,3.83,1.53,0.77,3.06,0.77,371.49,13.02,0,0,3.06,3.83,0.77,0,29.87,0.77,0,0,0,0,0.77,0,0.77
120,1.96,5.88,1.96,0,0,1.96,0,258.69,11.76,0,0,1.96,5.88,0,1.96,35.28,0,1.96,0,1.96,0,0,0,0
