stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,2,0,2,0,0,2,0,0,0,0,0,0,0,0,5,0,1,31,0,0,0,0,4,0,0,6,9,0,0,0
 24-34,0,0,0,1.64,0,0,4.93,0,0,0,0,0.82,0,0,0,0.82,0,0,6.57,0,0.82,40.22,0,0,0,0,0,0,0,0,10.67,0,0,0
 36-46,0,0,0,1.61,0,0,7.25,0,0,2.42,0,0,0,0,0,0,0,0.81,5.64,0,0,69.29,1.61,1.61,0,0.81,0,0,0,0,14.5,0,0.81,0.81
 48-58,0,0,0,0,0,0,25.82,0,0,6.31,0,0,0,0,0,0.57,1.72,0,5.74,0.57,1.72,57.38,1.15,3.44,0,0,0,0.57,0,0,10.9,0,1.15,0.57
 60-70,0,0,0,0.98,0,0,20.61,0.98,0,2.94,0,0,0,0,0,0,7.85,0,7.85,0.98,0.98,47.11,0,0,0,0,0,0,0,0,4.91,0,0,0.98
 72-82,0,0,0.98,0.98,0,0,19.63,0,0,5.89,0.98,0,1.96,0,0,5.89,84.42,0,14.72,1.96,0.98,51.05,0,3.93,0,0,0,0,0,0,0,0,0.98,0.98
 84-94,0,0,0,0,0,0,11.68,0,0,1.06,0,0,1.06,0,1.06,1.06,272.94,1.06,10.62,1.06,0,15.93,2.12,6.37,0,1.06,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,2.19,1.09,1.09,19.67,1.09,0,1.09,3.28,0,1.09,0,1.09,8.74,468.83,1.09,16.39,0,3.28,54.64,0,12.02,0,7.65,0,1.09,1.09,0,2.19,0,0,1.09
108-118,0,0,0,4.6,2.3,4.6,13.02,0.77,0.77,3.83,3.06,0,1.53,0.77,1.53,5.36,916.86,0,16.09,0,3.06,54.38,0.77,11.49,0,3.83,0,0.77,0,0,1.53,0,3.83,1.53
120,0,0,0,1.96,1.96,0,3.92,0,0,0,5.88,0,3.92,0,0,3.92,325.32,0,13.72,0,0,23.52,0,3.92,0,1.96,0,0,0,0,0,1.96,1.96,0
