stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,xanthophores
  3-4,131.78,2820.08,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0
  5-6,42.91,527.15,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,6.13,0,0,0,0,0
  7-9,0,7.89,2.63,0,13.14,0,7.89,0,0,0,107.78,0,0,0,13.14,0,2.63,0,0,0,0
 10-12,0,0,0,0,9.44,0,3.15,0,0,0,37.76,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,3,3,1,0,0,2,2,45,1,0,0,0,1,1,1,2,9,0
 24-34,0,0,0,0,4.1,1.64,0,3.28,0.82,0.82,73.88,0,0.82,0,0,1.64,0,0,0,7.39,0
 36-46,0,0,0,0,12.89,0.81,0,12.09,0.81,0.81,35.45,0,0,0,0,0.81,0,0,0,8.06,0
 48-58,0,0,0,0,12.62,1.15,0,6.31,2.87,0.57,12.62,0,0,0,0,0,0,0,0,1.72,0
 60-70,0,0,0,0,4.91,0,0,0,2.94,0,7.85,0,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,1.96,0.98,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,0,0,0,8.5,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,0,0,0,1.09,1.09,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.3,0.77,0,0,0.77,0,5.36,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,3.92,1.96,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0,0,0
