stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,0,0,0,1,0,8,0,0,0,0,0,3,0,2,6,0,0,1,0,0,0,0,0,0,305,36,3,0,0,0,0,0
 24-34,0,0,0,0,1.64,0,3.28,18.06,0,0.82,0,8.21,0,0,0,0,0,3.28,0,9.03,49.25,0.82,0,9.85,0,0,1.64,0,0,0.82,218.35,22.16,9.03,0,0,0.82,0,0.82
 36-46,0,0,0,0,0,0,5.64,19.34,0,4.03,0,6.45,0,0,0,0.81,0,4.03,0,4.83,46.73,0.81,0,3.22,0,0,1.61,0,0,0,141.8,0,6.45,0,0,0,0,0
 48-58,0,0,0,0,1.72,0.57,4.59,12.62,0,11.48,0,2.3,0,0,0,1.15,0,1.15,0,1.15,34.43,0,0.57,9.18,0,0,0,0,0,0,78.61,0,8.61,0,0,0,0,0
 60-70,0,0,0,0,0,0,6.87,22.58,0.98,18.65,0,3.93,0,0.98,0,4.91,0,1.96,0,1.96,51.04,0,0,18.65,0.98,0,0.98,0,0,0,37.3,0,3.93,0,0,0,2.94,0
 72-82,0,0,1.96,0,4.91,0.98,13.74,27.49,0,23.56,1.96,1.96,0,0,0,16.69,0.98,13.74,0,6.87,72.64,0,0,42.21,0,0,0,0,0,0,16.69,0,0.98,9.82,0.98,0,7.85,0
 84-94,0,0,0,0,2.12,1.06,10.62,58.41,0,15.93,3.19,2.12,0,0,0,14.87,1.06,4.25,2.12,7.43,40.36,0,0,61.6,0,0,2.12,0,0,0,23.36,0,1.06,20.18,0,1.06,22.3,0
 96-106,0,0,0,0,19.67,1.09,20.76,92.89,1.09,14.21,1.09,8.74,0,0,1.09,40.44,3.28,10.93,1.09,9.84,69.94,0,1.09,77.59,1.09,1.09,4.37,1.09,0,1.09,31.69,0,0,36.06,0,1.09,24.04,0
108-118,0,0,0,0,13.79,0.77,6.13,80.43,0,13.02,3.06,6.13,0.77,0.77,1.53,21.45,0,7.66,1.53,11.49,47.49,0.77,0,55.92,0,0,0,0,0,0,36,0,0.77,26.04,0,0.77,13.79,0
120,0,0,0,0,7.84,0,11.76,70.55,0,7.84,0,1.96,0,3.92,0,17.64,0,9.8,1.96,3.92,35.28,0,0,50.95,0,0,1.96,0,1.96,0,13.72,0,1.96,19.6,1.96,0,11.76,0
